index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
525,-0.9000000,3.0600000,1.3000000,-0.0429000,0.0058000,1.2514000,-0.0180750,0.0614551,0.0261084,-0.0008616,0.0001165,0.0251323,0
526,-2.9200000,7.6300000,0.4500000,-0.0244000,0.0341000,0.9121000,-0.1230090,0.3720788,0.1020099,-0.0035581,0.0010996,0.1078147,0
527,-2.7900000,3.2400000,-0.5800000,0.0332000,0.0229000,0.7944000,-0.3718212,0.9744049,0.1750297,-0.0061766,0.0035879,0.2299047,0
528,1.3500000,2.3800000,-0.0300000,0.0107000,-0.0502000,1.0600000,-0.6451238,1.6136050,0.1929387,-0.0063014,0.0054920,0.3612531,0
529,0.0000000,2.6300000,0.5100000,-0.0268000,0.0166000,1.2070000,-0.7703892,2.1074167,0.1863143,-0.0053169,0.0050490,0.4992445,0
530,-2.7900000,6.0500000,-0.4000000,-0.0385000,0.0507000,0.9599000,-0.8177605,2.5297689,0.1789477,-0.0058931,0.0050360,0.6366871,0
531,-2.9200000,2.5100000,-1.4400000,-0.0048000,-0.0161000,0.7451000,-0.9531572,2.9436572,0.1251034,-0.0079704,0.0066697,0.7514496,0
532,0.0600000,0.1900000,-0.5800000,-0.0004000,-0.0234000,1.0117000,-1.1355381,3.1987697,0.0029985,-0.0096363,0.0070832,0.8342108,0
533,1.6500000,2.2000000,0.8100000,-0.0097000,-0.0424000,1.1728000,-1.1843826,3.2076426,-0.1115038,-0.0102380,0.0046646,0.8994294,0
534,-0.2300000,3.7900000,0.7500000,0.0029000,0.0351000,1.0307000,-1.0577025,3.1239508,-0.1400333,-0.0101408,0.0012706,0.9571289,0
535,-2.5500000,1.8300000,-0.2200000,-0.0180000,0.0322000,0.8681000,-0.9188006,3.0524851,-0.1051071,-0.0097036,0.0001968,0.9996331,0
536,-1.8200000,-0.2900000,-0.5200000,-0.0317000,-0.0317000,0.9560000,-0.8995013,2.9052307,-0.0784811,-0.0099452,0.0008540,1.0213577,0
537,-0.1700000,1.0400000,0.8100000,-0.0175000,-0.0385000,1.0175000,-0.9425938,2.6233925,-0.0641373,-0.0112874,-0.0001930,1.0295101,0
538,1.6500000,1.8300000,1.8500000,-0.0034000,0.0375000,1.1811000,-0.9047519,2.3045907,0.0094604,-0.0126493,-0.0022789,1.0358244,0
539,-1.6400000,2.5700000,0.8700000,0.0000000,0.0410000,0.9223000,-0.7778759,2.0609971,0.1639510,-0.0129946,-0.0018771,1.0430614,0
540,-2.6700000,-0.2300000,-0.0900000,-0.0190000,-0.0234000,0.8017000,-0.7203728,1.8745628,0.3201548,-0.0126221,0.0004613,1.0407772,0
541,-1.8200000,-0.8400000,0.3200000,-0.0444000,-0.0473000,1.0410000,-0.8023567,1.6299086,0.4149014,-0.0130240,0.0008576,1.0273343,0
542,1.2200000,0.5500000,1.4800000,-0.0126000,0.0004000,1.1557000,-0.8927054,1.3147497,0.4831060,-0.0146536,-0.0013189,1.0173082,0
543,0.0000000,2.5700000,1.4200000,0.0092000,0.0952000,1.0263000,-0.8664850,1.0638396,0.5824314,-0.0157346,-0.0016308,1.0170930,0
544,-2.4300000,0.3100000,-0.0900000,-0.0253000,0.0346000,0.7529000,-0.8043615,0.9379563,0.6842978,-0.0155555,0.0028269,1.0148027,0
545,-2.7300000,-3.5900000,-0.8900000,-0.0874000,-0.0527000,0.9985000,-0.8523342,0.7738382,0.7016872,-0.0167777,0.0077021,1.0027175,0
546,-0.8400000,-0.8400000,0.1400000,-0.0654000,-0.0473000,1.1191000,-0.9899584,0.4515730,0.6217267,-0.0215459,0.0078383,0.9921174,0
