LOC_LOG_BEGIN
_us,dt_ms,armed,phase,voltage,loc_ready,loc_hold,loc_weight,yaw_deg,pos_err_x_e,pos_err_y_e,vel_x_e,vel_y_e,vel_tgt_x_e,vel_tgt_y_e,vel_err_x_b,vel_err_y_b,loc_raw_roll,loc_raw_pitch,loc_trim_roll,loc_trim_pitch,loc_ramped_roll,loc_ramped_pitch,loc_vel_p_x,loc_vel_i_x,loc_vel_d_x,loc_vel_p_y,loc_vel_i_y,loc_vel_d_y,roll_tgt,roll_cur,pitch_tgt,pitch_cur,sp_rate_ff_roll,sp_rate_ff_pitch,rate_tgt_r,rate_fb_r,rate_out_r,rate_p_r,rate_i_r,rate_d_r,rate_tgt_p,rate_fb_p,rate_out_p,imu_acc_body_y_m_s2,flow_obs_vx_e,flow_obs_vy_e,ekf_vx_e,ekf_vy_e,flow_valid,flow_obs_valid,flow_ekf_used,flow_gate_clipped,throttle,height_cm,vel_z_cm_s,m1,m2,m3,m4,att_voltage_scale,goal_pos_x_e,goal_pos_y_e,profile_pos_x_e,profile_pos_y_e,profile_vel_x_e,profile_vel_y_e
87,33255424,20.02,1,3,10.21,1,1,1.00,-5.54,11.11,-129.59,-12.87,10.64,0.69,-8.61,13.70,-16.74,-2.16,-2.24,0.00,0.00,-2.16,-2.24,1.79,0.24,0.00,-1.51,-0.43,-0.15,-2.16,-0.73,-2.24,-2.16,-0.81,-2.34,-7.00,-10.57,1.02,0.62,0.23,0.18,-2.62,9.56,-1.45,0.3243,-62.65,39.71,-12.87,10.64,1,1,1,1,38.94,106.49,-4.71,5618,6029,6681,5732,0.999,0.00,0.00,-7.69,89.74,0.00,0.00
88,33275425,20.00,1,3,10.20,1,1,1.00,-5.56,11.36,-129.80,-11.46,13.10,0.70,-8.61,13.70,-18.65,-2.50,-2.21,0.00,0.00,-2.50,-2.21,1.80,0.24,0.00,-1.68,-0.43,-0.24,-2.50,-0.85,-2.21,-1.98,-2.62,-1.32,-9.91,-2.85,-1.16,-0.52,0.23,-0.88,-2.05,3.54,-0.56,0.1203,5.02,51.55,-11.46,13.10,1,1,1,1,38.91,106.36,-4.47,5415,6491,6331,5869,0.999,0.00,0.00,-7.88,89.96,0.00,0.00
89,33295430,20.00,1,3,10.20,1,1,1.00,-5.59,11.59,-130.07,-10.28,14.96,0.71,-8.61,13.12,-20.59,-2.81,-2.06,0.00,0.00,-2.81,-2.06,1.72,0.25,-0.04,-1.86,-0.43,-0.31,-2.81,-0.82,-2.06,-1.96,-2.80,0.06,-11.74,2.59,-1.94,-1.56,0.22,-0.60,-0.27,-3.82,0.79,0.1078,3.60,36.83,-10.28,14.96,1,1,1,0,39.16,106.14,-5.64,5487,6767,6047,5789,1.000,0.00,0.00,-8.04,90.22,0.00,0.00
90,33315238,19.81,1,3,10.19,1,1,1.00,-5.60,11.80,-130.37,-10.28,14.96,0.72,-8.60,12.90,-21.36,-2.87,-2.03,0.00,0.00,-2.87,-2.03,1.69,0.25,-0.05,-1.93,-0.43,-0.30,-2.87,-0.76,-2.03,-2.06,-2.17,0.26,-11.69,-0.51,-0.78,-1.40,0.22,0.40,0.38,-9.61,1.73,0.5255,0.00,0.00,-10.28,14.96,1,0,0,0,39.16,106.01,-5.48,5779,6788,6126,5529,1.001,0.00,0.00,-8.19,90.53,0.00,0.00
91,33335395,20.16,1,3,10.19,1,1,1.00,-5.64,12.00,-130.66,-9.27,15.22,0.74,-8.60,12.24,-21.88,-2.90,-1.87,0.00,0.00,-2.90,-1.87,1.60,0.25,-0.09,-1.98,-0.43,-0.27,-2.90,-0.82,-1.87,-2.22,-1.60,1.12,-10.99,-9.85,1.26,-0.23,0.21,1.28,2.24,-11.60,1.88,0.4804,1.78,18.00,-9.27,15.22,1,1,1,0,39.34,105.81,-6.23,6008,6600,6437,5179,1.001,0.00,0.00,-8.34,90.83,0.00,0.00
92,33355399,20.00,1,3,10.18,1,1,1.00,-5.67,12.19,-130.97,-8.96,16.75,0.75,-8.60,11.89,-23.01,-3.07,-1.81,0.00,0.00,-3.07,-1.81,1.56,0.25,-0.10,-2.08,-0.44,-0.29,-3.07,-0.96,-1.81,-2.33,-2.07,1.07,-11.58,-12.34,0.61,0.17,0.21,0.23,2.72,-5.88,0.34,0.4338,-5.60,33.63,-8.96,16.75,1,1,1,0,39.06,105.72,-4.75,5751,6496,6567,5500,1.002,0.00,0.00,-8.48,91.14,0.00,0.00
93,33375400,20.00,1,3,10.18,1,1,1.00,-5.69,12.37,-131.30,-9.52,16.00,0.75,-8.60,12.05,-22.98,-2.98,-1.88,0.00,0.00,-2.98,-1.88,1.58,0.25,-0.07,-2.08,-0.44,-0.23,-2.98,-1.16,-1.88,-2.31,-0.83,0.27,-8.96,-9.13,-0.52,-0.31,0.21,-0.43,1.65,3.48,-0.88,0.1962,-15.71,7.63,-9.52,16.00,1,1,1,0,39.15,105.50,-5.05,5503,6348,6443,5874,1.003,0.00,0.00,-8.62,91.48,0.00,0.00
94,33395400,20.00,1,3,10.17,1,1,1.00,-5.71,12.56,-131.62,-11.91,18.55,0.76,-8.60,13.71,-24.35,-3.22,-2.32,0.00,0.00,-3.22,-2.32,1.80,0.25,0.07,-2.20,-0.44,-0.27,-3.22,-1.25,-2.32,-2.18,-1.97,-2.51,-10.80,-2.35,-1.28,-0.82,0.21,-0.66,-2.96,5.89,-0.89,0.1623,-38.81,49.25,-11.91,18.55,1,1,1,1,38.88,105.45,-3.60,5373,6499,6396,5948,1.003,0.00,0.00,-8.76,91.80,0.00,0.00
95,33415400,20.00,1,3,10.17,1,1,1.00,-5.73,12.80,-131.99,-10.55,21.00,0.78,-8.60,13.72,-26.43,-3.56,-2.28,0.00,0.00,-3.56,-2.28,1.80,0.25,0.06,-2.39,-0.44,-0.35,-3.56,-1.24,-2.28,-2.07,-2.80,-1.36,-13.21,0.55,-1.50,-1.42,0.21,-0.29,-2.03,2.45,-0.66,0.3572,4.89,48.70,-10.55,21.00,1,1,1,0,39.02,105.30,-4.43,5348,6513,6291,5920,1.004,0.00,0.00,-8.94,92.18,0.00,0.00
96,33435405,20.00,1,3,10.17,1,1,1.00,-5.76,13.01,-132.42,-9.47,21.53,0.79,-8.60,13.12,-27.64,-3.70,-2.11,0.00,0.00,-3.70,-2.11,1.72,0.25,0.00,-2.50,-0.44,-0.35,-3.70,-1.22,-2.11,-2.06,-2.66,0.13,-13.56,-1.68,-1.05,-1.44,0.20,0.19,-0.05,-5.10,1.07,0.3412,2.77,27.47,-9.47,21.53,1,1,1,0,38.90,105.24,-3.85,5635,6721,6160,5630,1.004,0.00,0.00,-9.10,92.61,0.00,0.00
