time_s,bias_cm_s2,acc_cm_s2
0.000000,-0.000000,0.000000
0.018376,-0.000226,0.060000
0.046013,-0.088676,0.020000
0.072017,0.016044,0.600000
0.098018,-0.076089,0.440000
0.124021,0.059509,-0.460000
0.150022,0.105314,0.200000
0.176025,-0.054515,19.480000
0.202006,0.088626,16.480000
0.228021,0.149377,17.000000
0.254025,-0.018358,-2.200000
0.280026,0.137186,0.300000
0.306030,0.191190,0.600000
0.332034,0.015091,1.160000
0.358033,0.172058,0.180000
0.384038,0.225370,-0.280000
0.410040,0.046089,-0.180000
0.436039,0.201129,-0.380000
0.462039,0.251743,-0.200000
0.488037,0.069507,-1.320000
0.514043,0.220886,-0.580000
0.540042,0.268022,-0.840000
0.566047,0.083788,2.780000
0.592049,0.232332,-0.740000
0.610416,0.274740,0.340000
0.638054,0.104469,0.100000
0.664054,0.250898,0.860000
0.690052,0.104777,-0.460000
0.716053,0.260716,-0.100000
0.742053,0.304227,0.460000
0.768054,0.115778,-0.540000
0.794059,0.255198,-2.760000
0.820063,0.292971,-0.100000
0.846065,0.103630,-1.740000
0.872066,0.242269,-1.560000
0.898070,0.270468,-1.380000
0.924069,0.080646,2.660000
0.950066,0.220364,-1.080000
0.976071,0.260377,-0.360000
1.002070,0.075476,0.920000
1.028075,0.215645,0.300000
1.054078,0.255613,0.340000
1.080080,0.071285,-0.160000
1.106080,0.219916,0.620000
1.132084,0.261075,-0.800000
1.158083,0.076242,0.940000
1.184085,0.213289,1.580000
1.210082,0.067273,-0.700000
1.236085,0.024494,-1.720000
1.262087,0.213984,-1.960000
1.288093,0.084516,0.040000
1.314095,0.053245,6.120000
1.340098,0.243045,11.980000
1.366099,0.032188,12.800000
1.392102,-0.075004,12.280000
1.418102,0.053318,12.280000
1.444097,-0.199604,28.520000
1.470103,-0.543121,11.460000
1.496103,-0.513697,19.000000
1.522105,-0.723067,3.780000
1.548109,-1.091072,7.280000
1.574112,-0.997571,15.440000
1.600111,-1.208864,28.360000
1.626117,-1.651001,14.820000
1.652112,-1.555369,4.720000
1.678113,-1.731352,2.460000
1.696480,-1.450112,3.660000
1.724115,-1.778331,4.020000
1.750120,-2.036401,3.100000
1.776120,-1.870881,4.140000
1.802126,-2.020225,10.360000
1.828127,-2.254493,4.200000
1.854128,-2.040665,-5.300000
1.880131,-1.976170,-10.340000
1.906130,-2.146089,-6.220000
1.958131,-1.919441,-13.260000
1.984134,-1.883133,-13.520000
2.010132,-1.432795,-14.920000
2.062143,-1.173455,-13.120000
2.088145,-0.686806,-11.620000
2.114142,-0.503697,-7.800000
2.140146,-0.351848,-7.400000
2.166144,0.047458,-7.840000
2.192141,0.117406,-1.300000
2.218146,0.328636,51.520000
2.244149,0.728787,60.000000
2.270139,0.789621,48.220000
2.296155,1.085359,2.380000
2.322155,1.426154,-6.960000
2.348160,1.403304,9.780000
2.374160,1.621579,40.020000
2.400161,1.873346,-0.860000
2.426157,1.824614,8.880000
2.478166,2.056348,7.140000
2.504164,1.975497,1.360000
2.530171,2.117913,2.280000
2.556174,2.386383,4.240000
2.582172,2.217886,5.260000
2.608175,2.276876,5.800000
2.634175,2.325763,10.220000
2.660172,2.099233,8.560000
2.686175,2.251371,11.700000
2.712176,2.249772,9.300000
2.738180,1.874180,7.220000
2.764184,1.952042,11.180000
2.790187,1.663746,7.780000
2.816192,1.473635,4.480000
2.842189,1.596070,1.980000
2.894193,1.478072,5.740000
2.920191,1.540307,1.680000
2.946195,1.294018,1.860000
2.972193,1.084734,-0.440000
2.998194,1.184771,40.860000
3.024201,1.115384,2.640000
3.050204,0.987592,-1.220000
3.076206,1.135194,-0.640000
3.102203,1.021218,0.040000
3.128206,1.018623,-3.000000
3.154206,1.222842,-10.960000
3.180205,1.200939,-6.640000
3.206212,1.101881,18.720000
3.232208,1.407754,-4.600000
3.258211,1.368764,-3.100000
3.284217,1.568919,-1.580000
3.310218,1.650404,19.140000
3.336220,1.519213,57.640000
3.362210,1.694841,60.000000
3.388225,1.782248,1.600000
3.414221,1.664987,7.380000
3.440224,1.932064,-3.600000
3.466224,2.035846,-5.500000
3.518231,2.133418,-4.420000
3.544235,2.328377,-1.420000
3.570236,2.246168,0.340000
3.622241,2.372469,1.480000
3.648237,2.258463,4.400000
3.674237,2.461726,3.640000
3.726243,2.477247,4.420000
3.752242,2.596694,12.940000
3.778248,2.383461,3.740000
3.804248,2.363703,3.440000
3.830252,2.407710,-0.320000
3.856254,2.309247,17.120000
3.882243,2.175183,23.480000
3.908253,2.241321,55.580000
3.934254,2.110724,2.180000
3.960245,2.093476,40.900000
3.986256,2.213873,8.920000
4.012263,2.125847,-4.320000
4.038265,2.077988,1.220000
4.064269,2.302326,-1.140000
4.090265,2.080076,-3.920000
4.116256,1.997939,25.980000
4.142268,2.313568,47.700000
4.168267,2.220095,54.200000
4.194272,2.163546,13.540000
4.220269,2.472649,0.140000
4.246274,2.384556,14.980000
4.272281,2.588802,2.220000
4.298281,2.780393,-2.800000
4.324280,2.596695,-2.180000
4.350282,2.818164,35.860000
4.376285,2.917891,38.240000
4.402286,2.903549,11.060000
4.454286,3.098896,-2.760000
4.480287,3.153409,-2.340000
4.506293,3.335442,-2.500000
4.558298,3.440642,27.540000
4.584298,3.711491,12.520000
4.610297,3.908638,22.120000
4.662300,3.912710,4.600000
4.680667,3.815884,5.020000
4.708300,3.726523,1.640000
4.760310,3.709270,18.760000
4.786310,3.849173,52.800000
4.812297,3.944721,60.000000
4.864317,3.980156,-11.380000
4.890313,4.020104,5.920000
4.916316,3.736682,2.460000
4.942316,3.914564,0.680000
4.968303,3.885742,14.000000
4.994323,3.805851,57.300000
5.020325,3.963110,60.000000
5.072326,3.907241,17.140000
5.098329,4.043095,1.060000
5.124330,4.053985,-2.960000
5.150328,3.858359,-1.300000
5.176330,4.034572,10.260000
5.202333,4.047300,-4.460000
5.228335,3.927703,1.220000
5.254342,4.027867,0.040000
5.280340,3.961282,0.220000
5.306345,3.940057,-2.160000
5.332344,4.179802,0.380000
5.358345,4.058517,-4.540000
5.384344,4.071056,6.280000
5.410343,4.270820,1.560000
5.436347,4.181030,9.100000
5.462349,4.100083,18.340000
5.488353,4.290116,52.180000
5.514356,4.156682,-8.160000
5.540357,4.163483,-2.480000
5.592360,4.254452,60.000000
5.618360,4.344333,2.380000
5.644363,4.590723,-1.600000
5.696364,4.602579,-2.880000
5.722351,4.800762,-2.200000
5.748356,4.676623,43.480000
5.800375,4.821123,27.460000
5.826378,4.692776,-3.880000
