time_s,bias_cm_s2,acc_cm_s2
0.000000,-0.000000,-0.020000
0.026011,0.117630,0.140000
0.052015,0.114684,0.260000
0.078015,-0.047915,-0.220000
0.104017,0.017264,1.260000
0.130019,-0.215375,1.340000
0.156020,-0.210597,0.160000
0.182022,-0.041979,9.420000
0.208023,-0.180959,-0.040000
0.234023,-0.307528,-2.280000
0.260023,-0.051050,0.200000
0.286031,-0.169962,0.560000
0.312032,-0.302112,1.240000
0.338034,-0.038283,1.000000
0.364037,-0.159211,1.180000
0.390034,-0.197087,1.580000
0.416036,-0.010085,-0.420000
0.442034,-0.159966,0.220000
0.468037,-0.301766,-0.180000
0.494039,-0.036588,0.180000
0.520042,-0.155386,0.520000
0.546048,-0.190810,1.060000
0.572048,0.007085,1.620000
0.598050,-0.233587,-0.800000
0.624049,-0.210983,-1.880000
0.650050,-0.001183,-0.940000
0.676053,-0.235318,0.000000
0.702052,-0.011853,1.140000
0.728052,-0.049804,0.860000
0.754055,-0.261783,0.460000
0.780060,-0.028175,-1.580000
0.806062,0.043597,-0.060000
0.832066,-0.145323,2.240000
0.858069,-0.025569,0.180000
0.884067,-0.000380,0.520000
0.910068,-0.197044,-2.080000
0.936065,-0.063727,-1.620000
0.962069,-0.028962,-0.920000
0.988068,-0.217897,0.580000
1.014072,-0.070607,1.740000
1.040075,-0.039378,0.000000
1.066078,-0.226984,-0.640000
1.092081,-0.088362,-2.680000
1.118083,-0.048915,-2.120000
1.144082,-0.233087,-2.680000
1.170081,-0.094829,-1.520000
1.196083,-0.332353,-1.600000
1.222087,-0.381887,0.720000
1.248086,-0.078464,-2.900000
1.274091,-0.273518,0.700000
1.300095,-0.319285,-0.300000
1.326093,-0.034568,5.440000
1.352098,-0.231412,4.980000
1.378097,-0.272953,5.040000
1.404100,-0.173627,9.020000
1.430098,-0.395111,11.940000
1.456099,-0.585435,10.440000
1.482101,-0.470353,9.820000
1.508103,-0.809487,29.840000
1.534109,-1.168230,12.740000
1.560109,-1.031033,7.440000
1.586112,-1.359490,10.880000
1.612113,-1.683474,27.880000
1.638111,-1.575457,49.480000
1.664099,-1.692731,6.260000
1.690112,-2.050825,35.500000
1.716114,-1.895692,0.000000
1.742117,-2.035710,-2.860000
1.768120,-1.815033,-3.800000
1.794124,-1.950665,-5.160000
1.820125,-1.986664,25.220000
1.846128,-1.693358,-3.600000
1.872126,-1.777725,-9.880000
1.898117,-1.877683,19.380000
1.924126,-1.599570,58.340000
1.950128,-1.596667,-6.400000
1.976132,-1.600142,-14.620000
2.002132,-1.308208,-1.460000
2.028140,-1.035376,26.900000
2.054137,-0.956176,60.000000
2.080141,-0.624706,15.520000
2.106142,-0.358246,3.980000
2.132144,-0.253652,-10.540000
2.158144,0.060422,2.320000
2.176496,0.332337,39.320000
2.204144,0.432817,19.080000
2.230147,0.791426,-6.860000
2.256154,0.820637,-5.180000
2.282155,1.158535,-6.580000
2.308154,1.384768,5.920000
2.334155,1.467132,25.480000
2.360158,1.684316,-6.680000
2.386159,1.906488,-0.660000
2.412148,1.833578,42.640000
2.438159,2.037147,60.000000
2.464162,2.213553,7.540000
2.490162,2.083692,5.000000
2.516168,2.235707,6.600000
2.542155,2.389022,33.780000
2.594176,2.386401,4.660000
2.620173,2.320518,40.380000
2.646180,2.084353,60.000000
2.690544,2.146451,7.460000
2.718177,2.012886,3.760000
2.744177,2.118645,26.140000
2.770186,1.954409,6.260000
2.796190,2.164112,1.720000
2.822186,2.123954,5.200000
2.848192,1.920870,4.340000
2.874189,2.035185,2.900000
2.900192,2.078909,5.440000
2.926191,1.926500,3.400000
2.952193,1.992853,0.040000
2.978192,1.953623,1.280000
3.004196,1.805562,19.900000
3.030202,1.989550,8.620000
3.056204,2.002012,-4.660000
3.108206,2.111368,-2.220000
3.134207,2.077651,-4.860000
3.160209,1.924305,5.620000
3.186207,2.192469,49.700000
3.212206,2.321899,60.000000
3.238211,2.316161,-6.220000
3.264216,2.593614,-8.260000
3.290205,2.577658,-3.780000
3.316205,2.724508,1.080000
3.342220,2.997523,-0.860000
3.368225,3.018696,-5.380000
3.394223,3.133572,14.660000
3.420223,3.351980,38.540000
3.446223,3.410180,36.040000
3.472223,3.489907,26.880000
3.524216,3.578410,0.820000
3.550232,3.755815,47.820000
3.576234,4.031544,14.540000
3.602237,3.946477,-0.220000
3.628234,4.012340,3.080000
3.654240,4.112173,5.380000
3.680238,3.878781,24.780000
3.698603,3.754570,6.720000
3.726241,4.000938,7.740000
3.752246,3.873555,-1.160000
3.778247,3.975046,6.560000
3.804248,3.807198,2.600000
3.830251,3.744607,6.060000
3.856238,3.796199,14.500000
3.882254,3.625082,27.220000
3.908251,3.501225,2.780000
3.934253,3.597395,3.080000
3.960254,3.437931,-0.880000
3.986257,3.302840,-3.620000
4.012263,3.428805,-6.180000
4.038265,3.356752,-0.560000
4.064264,3.313564,0.020000
4.090268,3.443742,0.820000
4.116267,3.296157,-3.600000
4.142269,3.325734,-10.980000
4.168254,3.501169,21.000000
4.194269,3.374840,60.000000
4.240273,3.528296,25.740000
4.266280,3.472910,51.180000
4.292279,3.628908,-7.640000
4.318281,3.567546,-7.820000
4.344285,3.698288,-5.660000
4.370282,4.031249,12.760000
4.396284,3.981850,31.060000
4.422284,4.157076,19.240000
4.448286,4.457493,7.520000
4.474288,4.428078,-3.020000
4.500287,4.616295,-1.100000
4.526298,4.857178,1.360000
4.552298,4.670476,0.780000
4.578299,4.789393,1.800000
4.604301,4.982944,2.240000
4.630300,4.754850,2.120000
4.656299,4.758957,14.600000
4.682285,4.934413,47.820000
4.708300,4.743470,13.940000
4.726671,4.645879,-6.460000
4.754305,4.806599,2.900000
4.780309,4.726661,2.740000
4.806312,4.823828,16.340000
4.832316,4.633102,-1.520000
4.858315,4.514773,-0.260000
4.884302,4.690886,1.740000
4.910315,4.466481,5.160000
4.936318,4.476026,-11.740000
4.962317,4.561668,12.060000
4.988318,4.406913,-3.440000
5.014325,4.357918,-0.680000
5.040327,4.507875,31.300000
5.066313,4.380413,32.280000
5.092331,4.432161,54.080000
5.118332,4.630925,24.180000
5.170317,4.587803,55.420000
5.196332,4.786366,24.960000
5.222331,4.667329,-7.020000
5.274340,4.789533,0.760000
