time_s,beacon_visible,search_active,follow_active,mode,drone_x_cm,drone_y_cm,goal_x_cm,goal_y_cm,car_x_cm,car_y_cm,car_distance_cm,drone_speed_cm_s
0.0,1,0,0,hold,0.0,0.0,0.0,0.0,35.555,0.077,35.555,0.0
0.02,1,0,0,hold,0.0,0.0,0.0,0.0,36.109,0.153,36.11,0.0
0.04,1,0,0,hold,0.0,0.0,0.0,0.0,36.664,0.23,36.665,0.0
0.06,1,0,0,hold,0.0,0.0,0.0,0.0,37.219,0.306,37.22,0.0
0.08,1,0,0,hold,0.0,0.0,0.0,0.0,37.774,0.383,37.776,0.0
0.1,1,0,0,hold,0.0,0.0,0.0,0.0,38.328,0.459,38.331,0.0
0.12,1,0,0,hold,0.0,0.0,0.0,0.0,38.883,0.536,38.887,0.0
0.14,1,0,0,hold,0.0,0.0,0.0,0.0,39.438,0.612,39.443,0.0
0.16,1,0,0,hold,0.0,0.0,0.0,0.0,39.993,0.689,39.999,0.0
0.18,1,0,0,hold,0.0,0.0,0.0,0.0,40.547,0.765,40.555,0.0
0.2,1,0,0,hold,0.0,0.0,0.0,0.0,41.102,0.842,41.111,0.0
0.22,1,0,0,hold,0.0,0.0,0.0,0.0,41.657,0.918,41.667,0.0
0.24,1,0,0,hold,0.0,0.0,0.0,0.0,42.212,0.995,42.223,0.0
0.26,1,0,0,hold,0.0,0.0,0.0,0.0,42.766,1.071,42.78,0.0
0.28,1,0,0,hold,0.0,0.0,0.0,0.0,43.321,1.148,43.336,0.0
0.3,1,0,0,hold,0.0,0.0,0.0,0.0,43.876,1.224,43.893,0.0
0.32,1,0,0,hold,0.0,0.0,0.0,0.0,44.431,1.301,44.45,0.0
0.34,1,0,0,hold,0.0,0.0,0.0,0.0,44.985,1.377,45.007,0.0
0.36,1,0,0,hold,0.0,0.0,0.0,0.0,45.54,1.454,45.563,0.0
0.38,1,0,0,hold,0.0,0.0,0.0,0.0,46.095,1.53,46.12,0.0
0.4,1,0,0,hold,0.0,0.0,0.0,0.0,46.65,1.607,46.677,0.0
0.42,1,0,0,hold,0.0,0.0,0.0,0.0,47.204,1.683,47.234,0.0
0.44,1,0,0,hold,0.0,0.0,0.0,0.0,47.759,1.76,47.792,0.0
0.46,1,0,0,hold,0.0,0.0,0.0,0.0,48.314,1.836,48.349,0.0
0.48,1,0,0,hold,0.0,0.0,0.0,0.0,48.869,1.913,48.906,0.0
0.5,1,0,0,hold,0.0,0.0,0.0,0.0,49.423,1.989,49.463,0.0
0.52,1,0,0,hold,0.0,0.0,0.0,0.0,49.978,2.066,50.021,0.0
0.54,1,0,0,hold,0.0,0.0,0.0,0.0,50.533,2.142,50.578,0.0
0.56,1,0,0,hold,0.0,0.0,0.0,0.0,51.088,2.219,51.136,0.0
0.58,1,0,0,hold,0.0,0.0,0.0,0.0,51.642,2.296,51.693,0.0
0.6,1,0,0,hold,0.0,0.0,0.0,0.0,52.197,2.372,52.251,0.0
0.62,1,0,0,hold,0.0,0.0,0.0,0.0,52.752,2.449,52.809,0.0
0.64,1,0,0,hold,0.0,0.0,0.0,0.0,53.307,2.525,53.366,0.0
0.66,1,0,0,hold,0.0,0.0,0.0,0.0,53.861,2.602,53.924,0.0
0.68,1,0,0,hold,0.0,0.0,0.0,0.0,54.416,2.678,54.482,0.0
0.7,1,0,0,hold,0.0,0.0,0.0,0.0,54.971,2.755,55.04,0.0
0.72,1,0,0,hold,0.0,0.0,0.0,0.0,55.526,2.831,55.598,0.0
0.74,1,0,0,hold,0.0,0.0,0.0,0.0,56.08,2.908,56.156,0.0
0.76,1,0,0,hold,0.0,0.0,0.0,0.0,56.635,2.984,56.714,0.0
0.78,1,0,0,hold,0.0,0.0,0.0,0.0,57.19,3.061,57.272,0.0
0.8,1,0,0,hold,0.0,0.0,0.0,0.0,57.745,3.137,57.83,0.0
0.82,1,0,0,hold,0.0,0.0,0.0,0.0,58.299,3.214,58.388,0.0
0.84,1,0,0,hold,0.0,0.0,0.0,0.0,58.854,3.29,58.946,0.0
0.86,1,0,0,hold,0.0,0.0,0.0,0.0,59.409,3.367,59.504,0.0
0.88,1,0,0,hold,0.0,0.0,0.0,0.0,59.964,3.443,60.062,0.0
0.9,1,0,0,hold,0.0,0.0,0.0,0.0,60.518,3.52,60.621,0.0
0.92,1,0,0,hold,0.0,0.0,0.0,0.0,61.073,3.596,61.179,0.0
0.94,1,0,0,hold,0.0,0.0,0.0,0.0,61.628,3.673,61.737,0.0
0.96,1,0,0,hold,0.0,0.0,0.0,0.0,62.183,3.749,62.296,0.0
0.98,1,0,0,hold,0.0,0.0,0.0,0.0,62.737,3.826,62.854,0.0
1.0,1,0,0,hold,0.0,0.0,0.0,0.0,63.292,3.902,63.412,0.0
1.02,1,0,0,hold,0.0,0.0,0.0,0.0,63.847,3.979,63.971,0.0
1.04,1,0,0,hold,0.0,0.0,0.0,0.0,64.402,4.055,64.529,0.0
1.06,1,0,0,hold,0.0,0.0,0.0,0.0,64.956,4.132,65.088,0.0
1.08,1,0,0,hold,0.0,0.0,0.0,0.0,65.511,4.208,65.646,0.0
1.1,1,0,0,hold,0.0,0.0,0.0,0.0,66.066,4.285,66.205,0.0
1.12,1,0,0,hold,0.0,0.0,0.0,0.0,66.621,4.361,66.763,0.0
1.14,1,0,0,hold,0.0,0.0,0.0,0.0,67.175,4.438,67.322,0.0
1.16,1,0,0,hold,0.0,0.0,0.0,0.0,67.73,4.514,67.88,0.0
1.18,1,0,0,hold,0.0,0.0,0.0,0.0,68.285,4.591,68.439,0.0
1.2,1,0,0,hold,0.0,0.0,0.0,0.0,68.84,4.668,68.998,0.0
1.22,1,0,0,hold,0.0,0.0,0.0,0.0,69.394,4.744,69.556,0.0
1.24,1,0,0,hold,0.0,0.0,0.0,0.0,69.949,4.821,70.115,0.0
1.26,1,0,0,hold,0.0,0.0,0.0,0.0,70.504,4.897,70.674,0.0
