time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.270000,7.295209,0.000000,-1.414050,7.270003,0.001600
0.020008,7.270000,7.271404,0.000000,-0.583888,7.270018,0.002169
0.040012,7.270000,7.245320,0.000000,-1.107735,7.270036,0.002908
0.060008,7.270000,7.225499,0.000000,-0.879897,7.270044,-0.001416
0.080014,7.270000,7.206799,0.230000,-0.654351,7.270011,-0.004506
0.100016,7.070000,7.206965,-0.460000,-0.664922,7.207812,-0.557393
0.120015,7.270000,7.189783,0.320000,-0.465755,7.221873,-0.292104
0.140018,7.070000,7.185169,-0.330000,-0.560628,7.173811,-0.639604
0.160019,7.270000,7.174976,0.290000,-0.560637,7.195893,-0.307111
0.180019,7.070000,7.164549,-0.270000,-0.473458,7.155416,-0.588672
0.200021,7.270000,7.161442,0.250000,-0.095681,7.182116,-0.257905
0.220021,7.070000,7.164676,-0.240000,0.116928,7.145809,-0.514231
0.240024,7.270000,7.161031,0.220000,0.032045,7.175176,-0.181901
0.260024,7.070000,7.168533,-0.210000,0.183549,7.141356,-0.447989
0.280025,7.280000,7.161665,0.200000,0.136789,7.174991,-0.108753
0.300030,7.070000,7.168845,-0.190000,0.274940,7.141825,-0.380233
2.320157,10.700000,10.546431,5.050000,4.137596,8.158520,2.566035
0.340030,7.070000,7.175194,-0.170000,0.200564,7.747442,-0.953585
0.360031,7.270000,7.176077,0.160000,-0.026928,7.569285,-2.199914
0.380035,7.080000,7.175727,-0.150000,0.170189,7.386619,-3.215388
0.400037,7.280000,7.177299,0.160000,-0.063819,7.317527,-3.128465
0.420035,7.280000,7.171885,0.070000,0.046453,7.268456,-2.923537
0.440033,7.280000,7.174337,0.000000,-0.145270,7.234019,-2.665379
0.460036,7.080000,7.177403,-0.070000,0.114981,7.152603,-2.843196
0.480042,7.080000,7.180459,-0.030000,-0.073807,7.093573,-2.804147
0.500043,7.270000,7.182601,0.170000,0.139276,7.105569,-2.224768
0.520045,7.070000,7.184388,-0.110000,-0.075395,7.060592,-2.234479
0.540047,7.270000,7.186327,0.120000,0.117014,7.085453,-1.693614
0.560041,7.070000,7.188265,-0.110000,-0.165524,7.050588,-1.749042
0.580045,7.270000,7.188406,0.120000,0.029770,7.082572,-1.265461
0.600047,7.080000,7.181875,-0.100000,-0.096130,7.055909,-1.347288
0.620048,7.280000,7.186331,0.110000,0.232066,7.093698,-0.894466
0.640047,7.080000,7.181007,-0.100000,0.009106,7.068549,-1.030517
0.660051,7.280000,7.182579,0.100000,0.303489,7.107093,-0.621537
0.700052,7.280000,7.197177,0.090000,0.190826,7.135498,-0.313883
0.720051,7.080000,7.191270,-0.090000,-0.270811,7.102926,-0.597577
0.740056,7.270000,7.185503,0.090000,-0.277333,7.138598,-0.282055
0.760058,7.070000,7.167302,-0.090000,-0.393807,7.106743,-0.542138
0.780057,7.270000,7.172380,0.080000,-0.467983,7.142532,-0.210992
0.800059,7.070000,7.154416,-0.080000,-0.502065,7.112732,-0.452299
0.820061,7.280000,7.158872,0.080000,-0.497528,7.151209,-0.099927
0.840061,7.080000,7.137198,-0.080000,-0.541844,7.124395,-0.333188
0.860065,7.280000,7.139975,0.080000,-0.471362,7.161303,-0.015811
0.880065,6.980000,7.119765,-0.130000,-0.431288,7.105403,-0.490713
0.900063,7.280000,7.125913,0.100000,-0.274682,7.147613,-0.083094
0.920068,6.980000,7.107996,-0.110000,-0.115956,7.096155,-0.473095
0.940053,7.180000,7.115445,0.630000,0.077213,7.113778,-0.119441
0.960058,6.880000,7.111954,0.900000,0.146305,7.045042,-0.475424
0.980071,7.280000,7.133082,2.320000,0.438664,7.106624,0.349739
1.000072,7.080000,7.130959,2.310000,0.660236,7.100709,0.442594
1.020075,7.280000,7.161383,2.900000,1.024993,7.154702,1.025693
1.040075,7.080000,7.174470,2.370000,1.392859,7.142823,0.976582
1.060073,7.290000,7.215883,2.900000,1.764082,7.194813,1.434169
1.080078,7.100000,7.241629,2.050000,2.134162,7.183556,1.297218
1.100076,7.410000,7.301812,3.070000,2.549270,7.263207,1.904918
1.120079,7.210000,7.341668,2.190000,2.821891,7.269744,1.783575
1.140078,7.510000,7.408044,3.080000,2.992487,7.359402,2.340383
1.160082,7.320000,7.466071,2.210000,3.472936,7.375611,2.191581
1.180082,7.630000,7.552234,3.230000,3.674555,7.474793,2.726318
1.200086,7.530000,7.620975,2.780000,4.003987,7.522817,2.732077
1.220086,7.830000,7.709997,3.810000,4.186678,7.642994,3.307061
1.240086,7.640000,7.783553,2.900000,4.667314,7.681353,3.098270
1.260090,8.040000,7.885543,4.370000,4.781910,7.821413,3.777339
1.280090,7.850000,7.972373,3.570000,4.909265,7.874733,3.612802
1.300090,8.160000,8.076673,4.440000,4.863197,8.000745,4.066121
