time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.270000,7.295209,0.000000,-1.414050,7.270002,0.001600
0.020008,7.270000,7.271404,0.000000,-0.583888,7.270015,0.001637
0.040012,7.270000,7.245320,0.000000,-1.107735,7.270029,0.002435
0.060008,7.270000,7.225499,0.000000,-0.879897,7.270007,-0.011044
0.080014,7.270000,7.206799,0.230000,-0.654351,7.269876,-0.017229
0.100016,7.070000,7.206965,-0.460000,-0.664922,7.195564,-1.054356
0.120015,7.270000,7.189783,0.320000,-0.465755,7.219080,-0.311060
0.140018,7.070000,7.185169,-0.330000,-0.560628,7.161729,-0.998742
0.160019,7.270000,7.174976,0.290000,-0.560637,7.196227,-0.177273
0.180019,7.070000,7.164549,-0.270000,-0.473458,7.145963,-0.825701
0.200021,7.270000,7.161442,0.250000,-0.095681,7.185826,-0.055258
0.220021,7.070000,7.164676,-0.240000,0.116928,7.138488,-0.689658
0.240024,7.270000,7.161031,0.220000,0.032045,7.181257,0.078872
0.260024,7.070000,7.168533,-0.210000,0.183549,7.135607,-0.611609
0.280025,7.280000,7.161665,0.200000,0.136789,7.183431,0.175043
0.300030,7.070000,7.168845,-0.190000,0.274940,7.136949,-0.531474
2.320157,10.700000,10.546431,5.050000,4.137596,8.208393,6.500477
0.340030,7.070000,7.175194,-0.170000,0.200564,7.601512,-2.156302
0.360031,7.270000,7.176077,0.160000,-0.026928,7.429577,-3.711799
0.380035,7.080000,7.175727,-0.150000,0.170189,7.254134,-4.838803
0.400037,7.280000,7.177299,0.160000,-0.063819,7.227314,-3.768749
0.420035,7.280000,7.171885,0.070000,0.046453,7.207397,-3.002419
0.440033,7.280000,7.174337,0.000000,-0.145270,7.194072,-2.421942
0.460036,7.080000,7.177403,-0.070000,0.114981,7.111061,-2.913176
0.480042,7.080000,7.180459,-0.030000,-0.073807,7.060707,-2.806345
0.500043,7.270000,7.182601,0.170000,0.139276,7.100114,-1.599865
0.520045,7.070000,7.184388,-0.110000,-0.075395,7.051485,-1.925232
0.540047,7.270000,7.186327,0.120000,0.117014,7.097228,-0.926026
0.560041,7.070000,7.188265,-0.110000,-0.165524,7.054022,-1.397188
0.580045,7.270000,7.188406,0.120000,0.029770,7.103396,-0.520744
0.600047,7.080000,7.181875,-0.100000,-0.096130,7.066428,-1.021874
0.620048,7.280000,7.186331,0.110000,0.232066,7.119667,-0.179008
0.640047,7.080000,7.181007,-0.100000,0.009106,7.081615,-0.767106
0.660051,7.280000,7.182579,0.100000,0.303489,7.134122,0.025850
0.700052,7.280000,7.197177,0.090000,0.190826,7.175524,0.398939
0.720051,7.080000,7.191270,-0.090000,-0.270811,7.118633,-0.503210
0.740056,7.270000,7.185503,0.090000,-0.277333,7.165730,0.172136
0.760058,7.070000,7.167302,-0.090000,-0.393807,7.116459,-0.550707
0.780057,7.270000,7.172380,0.080000,-0.467983,7.165949,0.190026
0.800059,7.070000,7.154416,-0.080000,-0.502065,7.120662,-0.477246
0.820061,7.280000,7.158872,0.080000,-0.497528,7.173550,0.307439
0.840061,7.080000,7.137198,-0.080000,-0.541844,7.131921,-0.356674
0.860065,7.280000,7.139975,0.080000,-0.471362,7.181896,0.342144
0.880065,6.980000,7.119765,-0.130000,-0.431288,7.102021,-0.823655
0.900063,7.280000,7.125913,0.100000,-0.274682,7.164010,0.205493
0.920068,6.980000,7.107996,-0.110000,-0.115956,7.091360,-0.741089
0.940053,7.180000,7.115445,0.630000,0.077213,7.121142,0.224292
0.960058,6.880000,7.111954,0.900000,0.146305,7.031812,-0.592112
0.980071,7.280000,7.133082,2.320000,0.438664,7.126652,1.352256
1.000072,7.080000,7.130959,2.310000,0.660236,7.116061,1.174790
1.020075,7.280000,7.161383,2.900000,1.024993,7.187871,2.167033
1.040075,7.080000,7.174470,2.370000,1.392859,7.163900,1.592637
1.060073,7.290000,7.215883,2.900000,1.764082,7.230914,2.298355
1.080078,7.100000,7.241629,2.050000,2.134162,7.205735,1.575421
1.100076,7.410000,7.301812,3.070000,2.549270,7.306654,2.675414
1.120079,7.210000,7.341668,2.190000,2.821891,7.297734,1.943053
1.140078,7.510000,7.408044,3.080000,2.992487,7.404396,2.918755
1.160082,7.320000,7.466071,2.210000,3.472936,7.402255,2.171195
1.180082,7.630000,7.552234,3.230000,3.674555,7.516685,3.151397
1.200086,7.530000,7.620975,2.780000,4.003987,7.552367,2.783737
1.220086,7.830000,7.709997,3.810000,4.186678,7.686901,3.811817
1.240086,7.640000,7.783553,2.900000,4.667314,7.702987,2.951259
1.260090,8.040000,7.885543,4.370000,4.781910,7.862434,4.325481
1.280090,7.850000,7.972373,3.570000,4.909265,7.894729,3.573857
