cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.5197808632775223,1.3496311772665908,100.00500000000301,1.9144991028882465,0.2,0.35,15.0,600.0,12.5,1,0.55,350.0
3.5400524199123407,1.333046932588154,100.00500000000301,2.0198013923546916,0.35,0.35,15.0,600.0,12.5,1,0.35,150.0
3.5421677161298257,1.3656697846668737,100.00500000000301,1.9326369470368765,0.1,0.35,15.0,600.0,12.5,1,0.55,350.0
3.5440334298719653,1.3587159933447883,100.00500000000301,1.9578355329346626,0.2,0.35,25.0,600.0,12.5,1,0.55,350.0
3.5461997576738744,1.3331382012703823,100.00500000000301,2.0371044468669917,0.2,0.35,15.0,600.0,12.5,1,0.35,150.0
3.5486560217941907,1.3368077719668994,100.00500000000301,2.0336378566492748,0.35,0.35,25.0,600.0,12.5,1,0.35,150.0
3.5501393589382104,1.3544953268253996,100.00500000000301,1.9873400917507593,0.2,0.35,15.0,600.0,12.5,1,0.35,200.0
3.5506471250157836,1.3391965764232605,100.00500000000301,2.0325015674070803,0.35,0.35,15.0,600.0,25.0,1,0.35,150.0
3.55153727219158,1.3665744387240737,100.00500000000301,1.9568223813356036,0.2,0.35,15.0,600.0,25.0,1,0.55,350.0
3.5547213582868653,1.340682810910367,100.00500000000301,2.0398958496470088,0.35,0.35,25.0,600.0,25.0,1,0.35,150.0
3.5553152706625433,1.3371955655676317,100.00500000000301,2.0515563002710477,0.2,0.35,25.0,600.0,12.5,1,0.35,150.0
3.5553360468508095,1.353473772820741,100.00500000000301,2.0051064972286388,0.2,0.35,15.0,400.0,12.5,1,0.55,200.0
3.556019219185379,1.34028732266878,100.00500000000301,2.0447339900472983,0.35,0.35,40.0,600.0,12.5,1,0.35,150.0
3.5577198090635536,1.3399454199039733,100.00500000000301,2.0505696833129576,0.2,0.35,15.0,600.0,25.0,1,0.35,150.0
3.5578516170120906,1.3643031597934543,100.00500000000301,1.98135273491026,0.35,0.35,15.0,600.0,12.5,1,0.35,200.0
3.5588992825058363,1.3424516273656049,100.00500000000301,2.0467790146862472,0.35,0.35,40.0,600.0,25.0,1,0.35,150.0
3.562083513722953,1.3416031520822573,100.00500000000301,2.0583010332590024,0.2,0.35,25.0,600.0,25.0,1,0.35,150.0
3.5628271327819863,1.3600181991460885,100.00500000000301,2.0078112389595795,0.2,0.35,25.0,600.0,12.5,1,0.35,200.0
3.563147847110372,1.3409578374377598,100.00500000000301,2.063185741921621,0.2,0.35,40.0,600.0,12.5,1,0.35,150.0
3.5634054162699025,1.3699256298459965,100.00500000000301,1.981156532639602,0.2,0.35,25.0,600.0,25.0,1,0.55,350.0
3.565266756970966,1.36769134541413,100.00500000000301,1.9928583187336888,0.2,0.35,40.0,600.0,12.5,1,0.55,350.0
3.5655860529051417,1.4108611443179855,100.00500000000301,1.8704283102488888,0.2,0.35,15.0,400.0,12.5,1,0.55,350.0
3.566510385629679,1.3435150036848083,100.00500000000301,2.0654868055566453,0.2,0.35,40.0,600.0,25.0,1,0.35,150.0
3.566922158564819,1.364769594608268,100.00500000000301,2.005935897018588,0.2,0.35,15.0,600.0,25.0,1,0.35,200.0
3.5673750480852027,1.3750797627761384,100.00500000000301,1.9777722437400542,0.1,0.35,25.0,600.0,12.5,1,0.55,350.0
3.5697980040320134,1.369445459389013,100.00500000000301,2.000792984694159,0.35,0.35,25.0,600.0,12.5,1,0.35,200.0
3.5702327961089555,1.3602246781806262,100.00500000000301,2.028380336937955,0.2,0.35,15.0,300.0,12.5,1,0.55,150.0
3.5707545865081785,1.3595741668544086,100.00500000000301,2.031729770439213,0.2,0.35,25.0,400.0,12.5,1,0.55,200.0
3.5710961246696646,1.385061607645844,100.00500000000301,1.9598843343536436,0.2,0.35,15.0,300.0,12.5,1,0.55,200.0
3.5727166765851774,1.3754736503608311,100.00500000000301,1.9919086463551454,0.2,0.35,15.0,400.0,12.5,1,0.35,150.0
3.572999782012009,1.3669120790201,100.00500000000301,2.0171791514053257,0.2,0.35,25.0,600.0,25.0,1,0.35,200.0
3.5732958657109566,1.3402215663032702,100.00500000000301,2.0942837125932607,0.2,0.35,15.0,600.0,12.5,1,0.55,200.0
3.5734741902385747,1.373785639183253,100.00500000000301,1.9988958601579336,0.35,0.35,15.0,600.0,25.0,1,0.35,200.0
3.573789233129058,1.365271080876113,100.00500000000301,2.0241232921511427,0.2,0.35,40.0,600.0,12.5,1,0.35,200.0
3.5750670930787636,1.3854378732601724,100.00500000000301,1.970154913767275,0.1,0.18,15.0,600.0,12.5,1,0.55,350.0
3.575103976833311,1.3833016981229405,100.00500000000301,1.9763636534580735,0.1,0.35,15.0,600.0,25.0,1,0.55,350.0
3.5752252043167387,1.363677052339322,100.00500000000301,2.032780434221061,0.2,0.35,15.0,400.0,25.0,1,0.55,200.0
3.5758840976061017,1.3744844349016023,100.00500000000301,2.003784750584155,0.2,0.35,40.0,600.0,25.0,1,0.55,350.0
