time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.520000,7.449032,0.000000,-2.311878,7.520000,0.000000
0.026012,7.320000,7.406059,0.000000,-0.504605,7.417987,-0.677659
0.052015,7.320000,7.404386,0.000000,-0.031412,7.367748,-0.912095
0.078016,7.420000,7.393348,0.000000,0.040866,7.371980,-0.698561
0.104019,7.320000,7.411198,0.000000,0.196175,7.342043,-0.798360
0.130020,7.520000,7.422340,0.010000,0.186612,7.385432,-0.340419
0.156018,7.520000,7.420431,0.010000,0.344133,7.418767,-0.078202
0.182017,7.320000,7.431446,-0.010000,0.324144,7.382911,-0.314168
0.208020,7.530000,7.441260,0.010000,0.179070,7.420786,0.039556
0.234023,7.520000,7.446542,0.000000,0.276222,7.447832,0.215737
0.260024,7.320000,7.450228,-0.010000,0.112844,7.408955,-0.089023
0.286028,7.520000,7.450281,0.010000,0.030006,7.439751,0.143440
0.312032,7.520000,7.457374,0.000000,0.127520,7.463772,0.268877
0.338031,7.320000,7.454278,-0.010000,0.026726,7.422673,-0.057328
0.364036,7.530000,7.469766,0.010000,-0.049567,7.453935,0.181656
0.390036,7.530000,7.461919,0.000000,-0.138889,7.478207,0.316275
0.416034,7.330000,7.453501,-0.010000,-0.143117,7.437508,-0.004099
0.442036,7.530000,7.460190,0.000000,-0.051650,7.465742,0.203518
0.468038,7.530000,7.447626,0.000000,-0.008967,7.487483,0.310265
0.494040,7.330000,7.447013,-0.010000,-0.075809,7.444705,-0.030622
0.520042,7.430000,7.458556,0.000000,-0.030554,7.441354,-0.015113
0.546047,7.530000,7.446647,0.010000,0.026122,7.468565,0.193380
0.572046,7.330000,7.447075,-0.010000,-0.041576,7.430306,-0.077279
0.598047,7.530000,7.463881,0.010000,0.066306,7.460241,0.169971
0.616416,7.530000,7.450037,0.000000,0.081740,7.481284,0.295219
0.644049,7.330000,7.449076,0.000000,-0.008097,7.443154,0.009285
0.670048,7.530000,7.459699,0.010000,0.026092,7.470929,0.225450
0.696052,7.330000,7.446958,0.000000,0.059441,7.433960,-0.038288
0.722052,7.530000,7.447059,0.010000,-0.019798,7.463868,0.192792
0.748059,7.530000,7.459325,0.000000,0.015100,7.486876,0.319305
0.774058,7.330000,7.448562,-0.010000,0.047267,7.445433,-0.002812
0.800061,7.530000,7.450276,0.000000,-0.038187,7.472317,0.201783
0.826065,7.530000,7.463564,0.000000,-0.025997,7.492943,0.311393
0.852066,7.330000,7.453688,-0.010000,-0.016992,7.449477,-0.025277
0.878069,7.530000,7.458320,0.000000,0.096265,7.474945,0.172654
0.904064,7.530000,7.466863,0.000000,0.061252,7.494448,0.280394
0.930066,7.230000,7.452370,-0.020000,0.028809,7.420502,-0.243198
0.956066,7.530000,7.459873,0.010000,0.035124,7.452326,0.051208
0.982068,7.530000,7.466460,0.000000,-0.047136,7.476918,0.221709
1.008077,7.330000,7.449710,-0.010000,-0.111632,7.436623,-0.073335
1.034078,7.530000,7.454944,0.000000,-0.150228,7.464791,0.146824
1.060076,7.530000,7.441404,0.000000,-0.110226,7.486436,0.265723
1.086080,7.330000,7.425318,-0.010000,-0.366659,7.443716,-0.061802
1.112080,7.520000,7.421924,0.000000,-0.458209,7.467006,0.134507
1.138082,7.520000,7.400928,0.000000,-0.434016,7.485028,0.242567
1.164079,7.330000,7.387069,-0.010000,-0.564985,7.442601,-0.066510
1.190080,7.520000,7.383422,0.000000,-0.575753,7.466207,0.122880
1.216084,7.320000,7.361536,-0.010000,-0.483824,7.425112,-0.163905
1.242086,7.320000,7.350262,0.000000,-0.505054,7.393490,-0.289533
