time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.520000,7.449032,0.000000,-2.311878,7.520000,0.000000
0.026012,7.320000,7.406059,0.000000,-0.504605,7.398216,-1.983567
0.052015,7.320000,7.404386,0.000000,-0.031412,7.338225,-1.958545
0.078016,7.420000,7.393348,0.000000,0.040866,7.350514,-0.934279
0.104019,7.320000,7.411198,0.000000,0.196175,7.319206,-1.127064
0.130020,7.520000,7.422340,0.010000,0.186612,7.381904,0.218565
0.156018,7.520000,7.420431,0.010000,0.344133,7.426587,0.619890
0.182017,7.320000,7.431446,-0.010000,0.324144,7.378703,-0.459454
0.208020,7.530000,7.441260,0.010000,0.179070,7.429693,0.551292
0.234023,7.520000,7.446542,0.000000,0.276222,7.462561,0.754302
0.260024,7.320000,7.450228,-0.010000,0.112844,7.407195,-0.450920
0.286028,7.520000,7.450281,0.010000,0.030006,7.448214,0.395384
0.312032,7.520000,7.457374,0.000000,0.127520,7.476692,0.615970
0.338031,7.320000,7.454278,-0.010000,0.026726,7.417482,-0.568721
0.364036,7.530000,7.469766,0.010000,-0.049567,7.459781,0.372056
0.390036,7.530000,7.461919,0.000000,-0.138889,7.488815,0.638047
0.416034,7.330000,7.453501,-0.010000,-0.143117,7.429818,-0.535554
0.442036,7.530000,7.460190,0.000000,-0.051650,7.468513,0.332299
0.468038,7.530000,7.447626,0.000000,-0.008967,7.494769,0.564538
0.494040,7.330000,7.447013,-0.010000,-0.075809,7.433522,-0.621563
0.520042,7.430000,7.458556,0.000000,-0.030554,7.431172,-0.314111
0.546047,7.530000,7.446647,0.010000,0.026122,7.469199,0.430098
0.572046,7.330000,7.447075,-0.010000,-0.041576,7.416298,-0.555040
0.598047,7.530000,7.463881,0.010000,0.066306,7.459419,0.394740
0.616416,7.530000,7.450037,0.000000,0.081740,7.485055,0.634726
0.644049,7.330000,7.449076,0.000000,-0.008097,7.432687,-0.446383
0.670048,7.530000,7.459699,0.010000,0.026092,7.472062,0.420228
0.696052,7.330000,7.446958,0.000000,0.059441,7.421343,-0.517378
0.722052,7.530000,7.447059,0.010000,-0.019798,7.464432,0.414626
0.748059,7.530000,7.459325,0.000000,0.015100,7.493606,0.664581
0.774058,7.330000,7.448562,-0.010000,0.047267,7.434454,-0.520441
0.800061,7.530000,7.450276,0.000000,-0.038187,7.472668,0.344385
0.826065,7.530000,7.463564,0.000000,-0.025997,7.498422,0.581669
0.852066,7.330000,7.453688,-0.010000,-0.016992,7.436778,-0.601905
0.878069,7.530000,7.458320,0.000000,0.096265,7.473537,0.275409
0.904064,7.530000,7.466863,0.000000,0.061252,7.498291,0.528015
0.930066,7.230000,7.452370,-0.020000,0.028809,7.396597,-1.221179
0.956066,7.530000,7.459873,0.010000,0.035124,7.445973,0.149582
0.982068,7.530000,7.466460,0.000000,-0.047136,7.479569,0.587695
1.008077,7.330000,7.449710,-0.010000,-0.111632,7.423521,-0.524274
1.034078,7.530000,7.454944,0.000000,-0.150228,7.464412,0.360072
1.060076,7.530000,7.441404,0.000000,-0.110226,7.492065,0.598206
1.086080,7.330000,7.425318,-0.010000,-0.366659,7.431754,-0.584209
1.112080,7.520000,7.421924,0.000000,-0.458209,7.465668,0.248523
