cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.4884128970887898,1.788440302393499,78.00600000000007,1.5139502705579704,0.2,0.22,15.0,600.0,12.5,1,0.55,150.0
3.4937529748378546,1.7970848108169153,78.00600000000007,1.5045090400598233,0.2,0.12,15.0,600.0,12.5,1,0.55,150.0
3.4952599211314066,1.7950542699348815,78.00600000000007,1.514616146275784,0.2,0.22,40.0,600.0,12.5,1,0.55,150.0
3.4953391191141794,1.7926093174702067,78.00600000000007,1.5218280046970625,0.2,0.35,15.0,600.0,12.5,1,0.55,150.0
3.5007811955978663,1.8038750554593688,78.00600000000007,1.5051889718242755,0.2,0.12,40.0,600.0,12.5,1,0.55,150.0
3.502084128067857,1.7991331716901047,78.00600000000007,1.5224598753650047,0.2,0.35,40.0,600.0,12.5,1,0.55,150.0
3.5027369753518314,1.8015039708994385,78.00600000000007,1.5175514412925488,0.2,0.22,80.0,600.0,12.5,1,0.55,150.0
3.505262933764034,1.8032383124264497,78.00600000000007,1.519813203821668,0.2,0.22,40.0,600.0,25.0,1,0.55,150.0
3.5058850742914385,1.8029448426297532,78.00600000000007,1.5224292333190983,0.2,0.22,15.0,600.0,25.0,1,0.55,150.0
3.5081331004108547,1.805917960048617,78.00600000000007,1.5203575438921055,0.2,0.22,80.0,600.0,25.0,1,0.55,150.0
3.508370090865307,1.8127097609691607,78.00600000000007,1.501629513988988,0.2,0.08,15.0,600.0,12.5,1,0.55,150.0
3.508384490412574,1.8104397924062368,78.00600000000007,1.5081562800181045,0.2,0.12,80.0,600.0,12.5,1,0.55,150.0
3.509496363225132,1.805533444644039,78.00600000000007,1.5253511959459773,0.2,0.35,80.0,600.0,12.5,1,0.55,150.0
3.510877520407785,1.812148013369587,78.00600000000007,1.5103985915377067,0.2,0.12,40.0,600.0,25.0,1,0.55,150.0
3.5114816686041244,1.8118241117990572,78.00600000000007,1.5130501623001889,0.2,0.12,15.0,600.0,25.0,1,0.55,150.0
3.512065258513983,1.8073034580868002,78.00600000000007,1.527633715506234,0.2,0.35,40.0,600.0,25.0,1,0.55,150.0
3.5127004293544064,1.8070324770811226,78.00600000000007,1.5302227207808086,0.2,0.35,15.0,600.0,25.0,1,0.55,150.0
3.5130313771406967,1.8096622889409761,78.00600000000007,1.5236545377134836,0.2,0.22,40.0,600.0,50.0,1,0.55,150.0
3.5131867665236216,1.8100576344459238,78.00600000000007,1.5229689487934202,0.2,0.22,80.0,600.0,50.0,1,0.55,150.0
3.5138181551349863,1.8148942379610333,78.00600000000007,1.5109540490684346,0.2,0.12,80.0,600.0,25.0,1,0.55,150.0
3.5148962858298125,1.8099496991677517,78.00600000000007,1.5281616761773131,0.2,0.35,80.0,600.0,25.0,1,0.55,150.0
3.515661160151234,1.8113283005685519,78.00600000000007,1.526408170236233,0.2,0.22,15.0,600.0,50.0,1,0.55,150.0
3.5197928767200173,1.813698067575933,78.00600000000007,1.531442311840238,0.2,0.35,40.0,600.0,50.0,1,0.55,150.0
3.519938248904898,1.8140817235452316,78.00600000000007,1.5307615010276152,0.2,0.35,80.0,600.0,50.0,1,0.55,150.0
3.5223900502707988,1.8153465644966884,78.00600000000007,1.534152816497456,0.2,0.35,15.0,600.0,50.0,1,0.55,150.0
3.5622931163095513,1.838903618766771,78.00600000000007,1.5808557072650833,0.35,0.12,15.0,600.0,12.5,1,0.55,150.0
3.570634295101744,1.8465656334086495,78.00600000000007,1.5827961762659817,0.35,0.12,40.0,600.0,12.5,1,0.55,150.0
