HEIGHT_LOG_BEGIN,count=400,fs=50
seq,time_us,tof_cm,height_cm,ekf_z_cm,ekf_vz_cm_s,acc_raw_cm_s2,acc_corrected_cm_s2,acc_lpf_cm_s2,acc_ekf_cm_s2,tof_diff_cm_s,innov_cm,throttle,target_vz_cm_s,tof_used,armed,final_height_cm,profile_height_cm,profile_vz_cm_s,position_correction_cm_s,profile_accel_cm_s2
0,84523628,7.3,7.27,7.27,0.00,-0.1,0.4,0.0,0.0,0.36,0.00,0.99,0.00,0,1,70.00,7.27,0.00,0.00,0.0
1,84543636,7.3,7.27,7.27,0.00,-0.9,-0.3,0.0,0.0,0.29,0.00,2.00,0.00,0,1,70.00,7.25,0.00,0.00,0.0
2,84563640,7.3,7.27,7.27,0.00,0.2,0.8,0.0,0.0,0.23,0.00,3.00,0.00,1,1,70.00,7.27,0.00,0.00,0.0
3,84583636,7.3,7.27,7.27,0.00,-13.0,-12.4,0.0,0.0,0.19,0.00,4.00,0.00,1,1,70.00,7.26,0.00,0.00,0.0
4,84603642,7.3,7.27,7.27,0.23,-0.3,0.2,0.0,0.0,0.15,0.00,5.00,0.00,1,1,70.00,7.27,0.00,0.00,0.0
5,84623644,7.1,7.07,7.22,-0.46,8.6,9.2,0.0,0.0,-1.87,-0.19,6.00,0.00,1,1,70.00,7.22,0.00,0.00,0.0
6,84643643,7.3,7.27,7.23,0.32,-2.2,-1.6,0.0,0.0,0.51,0.05,7.00,0.00,1,1,70.00,7.23,0.00,0.00,0.0
7,84663646,7.1,7.07,7.20,-0.33,0.9,1.5,0.0,0.0,-1.58,-0.15,8.00,0.00,1,1,70.00,7.20,0.00,0.00,0.0
8,84683647,7.3,7.27,7.21,0.29,4.1,4.7,0.0,0.0,0.73,0.06,9.00,0.00,1,1,70.00,7.21,0.00,0.00,0.0
9,84703647,7.1,7.07,7.20,-0.27,-8.4,-7.8,0.0,0.0,-1.41,-0.14,10.00,0.00,1,1,70.00,7.20,0.00,0.00,0.0
10,84723649,7.3,7.27,7.21,0.25,-16.8,-16.3,0.0,0.0,0.85,0.07,11.00,0.00,1,1,70.00,7.21,0.00,0.00,0.0
11,84743649,7.1,7.07,7.19,-0.24,19.9,20.5,0.0,0.0,-1.31,-0.13,12.00,0.00,1,1,70.00,7.19,0.00,0.00,0.0
12,84763652,7.3,7.27,7.20,0.22,-4.4,-3.8,0.0,0.0,0.96,0.08,13.00,0.00,1,1,70.00,7.20,0.00,0.00,0.0
13,84783652,7.1,7.07,7.19,-0.21,-28.8,-28.2,0.0,0.0,-1.22,-0.12,14.00,0.00,1,1,70.00,7.19,0.00,0.00,0.0
14,84803653,7.3,7.28,7.20,0.20,7.5,8.1,0.0,0.0,1.04,0.08,15.00,0.00,1,1,70.00,7.20,0.00,0.00,0.0
15,84823658,7.1,7.07,7.19,-0.19,-3.0,-2.4,0.0,0.0,-1.19,-0.12,16.00,0.00,1,1,70.00,7.19,0.00,0.00,0.0
