time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
0.000000,-73.990000,-87.650000,-3.300000,25.800000,-9.300000,20.200000,-65.930000,-132.760000,-2.700000,26.600000,-73.990000,-87.650000,-0.950041,2.063531,1.000000,0.000000,-9.300000,20.200000
4.820304,-55.020000,-78.110000,-3.600000,-6.000000,0.000000,0.000000,-46.020000,-117.780000,-3.300000,-8.300000,-74.085004,-87.443647,-0.851682,1.849890,1.000000,0.000000,0.950041,-2.063531
0.040007,-74.250000,-86.930000,-5.200000,21.700000,-8.900000,17.100000,-66.040000,-131.720000,-3.700000,24.300000,-74.089263,-87.434397,-1.611166,3.288975,1.000000,0.000000,-8.048318,15.250110
0.060005,-74.260000,-86.480000,-3.700000,22.000000,-0.200000,22.500000,-66.120000,-131.230000,-3.200000,24.000000,-74.121483,-87.368625,-1.486349,4.988181,1.000000,0.000000,1.411166,19.211025
0.080008,-74.260000,-86.000000,-2.600000,22.700000,-0.200000,24.400000,-66.180000,-130.750000,-2.800000,24.100000,-74.151214,-87.268846,-1.378929,6.609217,1.000000,0.000000,1.286349,19.411819
0.100007,-74.270000,-85.550000,-1.900000,22.500000,-0.200000,22.100000,-66.240000,-130.270000,-2.400000,23.800000,-74.178791,-87.136668,-1.285396,7.838215,1.000000,0.000000,1.178929,15.490783
0.120008,-74.270000,-85.160000,-1.400000,21.700000,-0.200000,19.700000,-66.290000,-129.790000,-2.100000,23.200000,-74.204501,-86.979896,-1.203135,8.737209,1.000000,0.000000,1.085396,11.861785
0.140010,-74.270000,-84.840000,-1.000000,20.000000,-0.100000,16.100000,-66.330000,-129.320000,-1.800000,22.200000,-74.228566,-86.805134,-1.122883,9.272842,1.000000,0.000000,1.103135,7.362791
0.160010,-74.280000,-84.530000,-0.700000,18.500000,-0.100000,15.200000,-66.370000,-128.880000,-1.600000,21.200000,-74.251023,-86.619678,-1.051152,9.688493,1.000000,0.000000,1.022883,5.927158
0.180011,-74.280000,-84.160000,-0.600000,18.600000,-0.100000,18.800000,-66.400000,-128.450000,-1.400000,20.900000,-74.272047,-86.425898,-0.986613,10.306745,1.000000,0.000000,0.951152,9.111507
0.200014,-74.290000,-83.820000,-0.400000,18.100000,-0.100000,16.800000,-66.430000,-128.040000,-1.200000,20.300000,-74.291783,-86.219732,-0.928207,10.734492,1.000000,0.000000,0.886613,6.493255
0.220017,-74.290000,-83.500000,-0.300000,17.400000,-0.100000,15.900000,-66.460000,-127.630000,-1.100000,19.700000,-74.310349,-86.005010,-0.875081,11.065838,1.000000,0.000000,0.828207,5.165508
0.240016,-74.290000,-83.500000,-0.200000,12.200000,0.000000,0.000000,-66.480000,-127.230000,-1.100000,19.700000,-74.327850,-85.783704,-0.875081,11.065838,0.000000,0.000000,0.875081,-11.065838
0.260019,-74.290000,-83.250000,-0.200000,12.200000,-0.100000,12.200000,-66.500000,-126.840000,-0.900000,18.500000,-74.345354,-85.562355,-0.824727,11.139519,1.000000,0.000000,0.775081,1.134162
0.280020,-74.290000,-82.960000,-0.200000,12.900000,-0.100000,14.500000,-66.520000,-126.470000,-0.800000,17.900000,-74.361850,-85.339553,-0.778817,11.352399,1.000000,0.000000,0.724727,3.360481
0.300022,-74.300000,-82.670000,-0.100000,13.400000,-0.100000,14.600000,-66.540000,-126.110000,-0.700000,17.400000,-74.377428,-85.112482,-0.736780,11.553513,1.000000,0.000000,0.678817,3.247601
0.320021,-74.300000,-82.380000,-0.100000,13.600000,-0.100000,14.200000,-66.550000,-125.760000,-0.600000,16.900000,-74.392163,-84.881424,-0.698144,11.714087,1.000000,0.000000,0.636780,2.646487
