time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
0.000000,-73.990000,-87.650000,-3.300000,25.800000,-9.300000,20.200000,-65.930000,-132.760000,-2.700000,26.600000,-73.990000,-87.650000,-2.444972,5.310584,1.000000,0.000000,-9.300000,20.200000
4.820304,-55.020000,-78.110000,-3.600000,-6.000000,0.000000,0.000000,-46.020000,-117.780000,-3.300000,-8.300000,-74.234497,-87.118942,-1.772275,3.849458,1.000000,0.000000,2.444972,-5.310584
0.040007,-74.250000,-86.930000,-5.200000,21.700000,-8.900000,17.100000,-66.040000,-131.720000,-3.700000,24.300000,-74.243359,-87.099694,-3.335674,6.755838,1.000000,0.000000,-7.127725,13.250542
0.060005,-74.260000,-86.480000,-3.700000,22.000000,-0.200000,22.500000,-66.120000,-131.230000,-3.200000,24.000000,-74.310065,-86.964591,-2.723333,9.830390,1.000000,0.000000,3.135674,15.744162
0.080008,-74.260000,-86.000000,-2.600000,22.700000,-0.200000,24.400000,-66.180000,-130.750000,-2.800000,24.100000,-74.364540,-86.767954,-2.270650,12.444163,1.000000,0.000000,2.523333,14.569610
0.100007,-74.270000,-85.550000,-1.900000,22.500000,-0.200000,22.100000,-66.240000,-130.270000,-2.400000,23.800000,-74.409951,-86.519083,-1.921623,14.071740,1.000000,0.000000,2.070650,9.655837
0.120008,-74.270000,-85.160000,-1.400000,21.700000,-0.200000,19.700000,-66.290000,-129.790000,-2.100000,23.200000,-74.448385,-86.237634,-1.644444,14.977884,1.000000,0.000000,1.721623,5.628260
0.140010,-74.270000,-84.840000,-1.000000,20.000000,-0.100000,16.100000,-66.330000,-129.320000,-1.800000,22.200000,-74.481277,-85.938046,-1.404060,15.152534,1.000000,0.000000,1.544444,1.122116
0.160010,-74.280000,-84.530000,-0.700000,18.500000,-0.100000,15.200000,-66.370000,-128.880000,-1.600000,21.200000,-74.509359,-85.634996,-1.206095,15.159740,1.000000,0.000000,1.304060,0.047466
0.180011,-74.280000,-84.160000,-0.600000,18.600000,-0.100000,18.800000,-66.400000,-128.450000,-1.400000,20.900000,-74.533482,-85.331786,-1.041244,15.702280,1.000000,0.000000,1.106095,3.640260
