voltage,current_z,tgt_z,current_v,tgt_v,final,profile_z,profile_v,err,corr,cmd,throttle_out,throttle_ramped,hover_base
11.304,6.998,20.0,0.0,0.0,20.0,6.998,0.0,0.0,0.0,0.0,2.73,2.1,32.5
11.226,6.999,20.0,0.017,0.0,20.0,6.998,0.0,0.0,0.0,0.0,11.83,6.95,32.5
11.183,7.0,20.0,-0.018,0.0,20.0,7.001,0.0,0.0,0.0,0.0,20.93,11.85,32.5
11.098,7.005,20.0,0.008,0.0,20.0,7.006,0.0,0.0,0.0,0.0,30.03,16.8,32.5
10.953,7.007,20.0,-0.009,0.0,20.0,7.007,0.0,0.0,0.0,0.0,32.5,24.13,32.5
10.601,7.105,20.0,1.17,0.0,20.0,7.105,0.0,0.0,0.0,0.0,32.35,32.33,32.5
10.410,7.854,20.0,5.225,1.855,20.0,7.591,1.95,-0.263,-0.095,1.855,32.46,32.56,32.5
10.308,9.781,20.0,8.795,4.582,20.0,8.62,5.0,-1.161,-0.418,4.582,32.95,32.79,32.5
10.267,12.751,20.0,10.798,3.97,20.0,9.89,5.0,-2.861,-1.03,3.97,32.47,32.48,32.5
10.234,16.012,20.0,14.001,7.365,20.0,11.748,8.9,-4.264,-1.535,7.365,32.88,32.92,32.5
10.186,17.953,20.0,7.524,10.789,20.0,14.588,12.0,-3.364,-1.211,10.789,34.13,34.26,32.5
10.145,19.04,20.0,4.42,8.672,20.0,17.421,9.254,-1.619,-0.583,8.672,34.33,34.25,32.5
10.129,19.563,20.0,2.68,5.249,20.0,19.27,5.354,-0.293,-0.106,5.249,34.02,34.08,32.5
10.149,18.744,20.0,-0.318,0.452,20.0,20.0,0.0,1.256,0.452,0.452,32.71,32.96,32.5
10.136,16.242,20.0,-7.121,1.353,20.0,20.0,0.0,3.758,1.353,1.353,33.95,34.07,32.5
10.114,13.75,20.0,-6.409,2.25,20.0,20.0,0.0,6.25,2.25,2.25,34.15,34.17,32.5
