time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.270000,7.295209,0.000000,-1.414050,7.270003,0.001600
0.020008,7.270000,7.271404,0.000000,-0.583888,7.270018,0.002169
0.040012,7.270000,7.245320,0.000000,-1.107735,7.270036,0.002908
0.060008,7.270000,7.235905,0.000000,-0.834148,7.270044,-0.001416
0.080014,7.270000,7.207302,0.230000,-0.706961,7.270011,-0.004506
0.100016,7.070000,7.203517,-0.460000,-0.655880,7.207812,-0.557393
0.120015,7.270000,7.185298,0.320000,-0.393647,7.221873,-0.292104
0.140018,7.070000,7.182430,-0.330000,-0.450836,7.173811,-0.639604
0.160019,7.270000,7.174729,0.290000,-0.431400,7.195893,-0.307111
0.180019,7.070000,7.166956,-0.270000,-0.344384,7.155416,-0.588672
0.200021,7.270000,7.165454,0.250000,0.003803,7.182116,-0.257905
0.220021,7.070000,7.169676,-0.240000,0.193059,7.145809,-0.514231
0.240024,7.270000,7.167900,0.220000,0.102231,7.175176,-0.181901
0.260024,7.070000,7.175372,-0.210000,0.231540,7.141356,-0.447989
0.280025,7.280000,7.169831,0.200000,0.174680,7.174991,-0.108753
0.300030,7.070000,7.176751,-0.190000,0.293200,7.141825,-0.380233
0.320029,7.270000,7.173908,0.170000,0.161857,7.172954,-0.074198
0.340030,7.070000,7.183371,-0.170000,0.181677,7.140871,-0.338269
0.360031,7.270000,7.183571,0.160000,-0.061702,7.172679,-0.038344
0.380035,7.080000,7.183686,-0.150000,0.114336,7.143993,-0.283522
0.400037,7.280000,7.183700,0.160000,-0.124485,7.178260,0.024767
0.420035,7.280000,7.177971,0.070000,-0.036169,7.204785,0.199733
0.440033,7.280000,7.179018,0.000000,-0.216401,7.225338,0.290820
0.460036,7.080000,7.182065,-0.070000,0.030001,7.185232,-0.105214
0.480042,7.080000,7.183699,-0.030000,-0.148260,7.154470,-0.324075
0.500043,7.270000,7.184662,0.170000,0.073345,7.184117,-0.020222
0.520045,7.070000,7.185056,-0.110000,-0.124800,7.151071,-0.282265
0.540047,7.270000,7.185475,0.120000,0.104038,7.181736,0.015282
0.560041,7.070000,7.184427,-0.110000,-0.124530,7.149470,-0.254900
0.580045,7.270000,7.184311,0.120000,0.105250,7.180661,0.030877
0.600047,7.080000,7.181875,-0.100000,-0.096130,7.151544,-0.223005
0.620048,7.280000,7.186331,0.110000,0.232066,7.185121,0.075255
0.640047,7.080000,7.181007,-0.100000,0.009106,7.155066,-0.194120
0.660051,7.280000,7.182579,0.100000,0.303489,7.187928,0.096799
0.700052,7.280000,7.197177,0.090000,0.190826,7.218793,0.281378
0.720051,7.080000,7.191270,-0.090000,-0.270811,7.176697,-0.095320
0.740056,7.270000,7.185503,0.090000,-0.277333,7.204164,0.141768
0.760058,7.070000,7.167302,-0.090000,-0.393807,7.165191,-0.183839
0.780057,7.270000,7.172380,0.080000,-0.467983,7.194589,0.091575
0.800059,7.070000,7.154416,-0.080000,-0.502065,7.159093,-0.196680
0.820061,7.280000,7.158872,0.080000,-0.497528,7.192402,0.115651
0.840061,7.080000,7.137198,-0.080000,-0.541844,7.160950,-0.151455
0.860065,7.280000,7.139975,0.080000,-0.471362,7.193656,0.137067
0.880065,6.980000,7.119765,-0.130000,-0.431288,7.133994,-0.362222
0.900063,7.280000,7.125913,0.100000,-0.274682,7.172806,0.024608
0.920068,6.980000,7.107996,-0.110000,-0.115956,7.118318,-0.382954
0.940053,7.180000,7.115445,0.630000,0.077213,7.133224,-0.044206
0.960058,6.880000,7.111954,0.900000,0.146305,7.062075,-0.412768
0.980071,7.280000,7.133082,2.320000,0.438664,7.121506,0.401736
1.000072,7.080000,7.130959,2.310000,0.660236,7.113688,0.485624
1.020075,7.280000,7.161383,2.900000,1.024993,7.165996,1.061170
1.040075,7.080000,7.174470,2.370000,1.392859,7.152634,1.005722
1.060073,7.290000,7.215883,2.900000,1.764082,7.203318,1.457994
1.080078,7.100000,7.241629,2.050000,2.134162,7.190915,1.316602
1.100076,7.410000,7.301812,3.070000,2.549270,7.269562,1.920594
1.120079,7.210000,7.341668,2.190000,2.821891,7.275220,1.796170
1.140078,7.510000,7.408044,3.080000,2.992487,7.364112,2.350422
1.160082,7.320000,7.466071,2.210000,3.472936,7.379655,2.199509
1.180082,7.630000,7.552234,3.230000,3.674555,7.478257,2.732506
1.200086,7.530000,7.620975,2.780000,4.003987,7.525779,2.736839
1.220086,7.830000,7.709997,3.810000,4.186678,7.645521,3.310659
1.240086,7.640000,7.783553,2.900000,4.667314,7.683504,3.100923
1.260090,8.040000,7.885543,4.370000,4.781910,7.823240,3.779229
1.280090,7.850000,7.972373,3.570000,4.909265,7.876282,3.614082
1.300090,8.160000,8.076673,4.440000,4.863197,8.002054,4.066915
