time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.270000,7.295209,0.000000,-1.414050,7.270001,0.000800
0.020008,7.270000,7.271404,0.000000,-0.583888,7.270005,0.000607
0.040012,7.270000,7.245320,0.000000,-1.107735,7.270008,0.000893
0.060008,7.270000,7.235905,0.000000,-0.834148,7.270008,-0.005111
0.080014,7.270000,7.207302,0.230000,-0.706961,7.269959,-0.007463
0.100016,7.070000,7.203517,-0.460000,-0.655880,7.189241,-1.453505
0.120015,7.270000,7.185298,0.320000,-0.393647,7.214754,-0.308981
0.140018,7.070000,7.182430,-0.330000,-0.450836,7.154474,-1.274213
0.160019,7.270000,7.174729,0.290000,-0.431400,7.191964,-0.045933
0.180019,7.070000,7.166956,-0.270000,-0.344384,7.140304,-0.995945
0.200021,7.270000,7.165454,0.250000,0.003803,7.183463,0.171895
0.220021,7.070000,7.169676,-0.240000,0.193059,7.135299,-0.806299
0.240024,7.270000,7.167900,0.220000,0.102231,7.181196,0.328884
0.260024,7.070000,7.175372,-0.210000,0.231540,7.134569,-0.701984
0.280025,7.280000,7.169831,0.200000,0.174680,7.185535,0.469909
0.300030,7.070000,7.176751,-0.190000,0.293200,7.137966,-0.621420
0.320029,7.270000,7.173908,0.170000,0.161857,7.184798,0.451500
0.340030,7.070000,7.183371,-0.170000,0.181677,7.138115,-0.600948
0.360031,7.270000,7.183571,0.160000,-0.061702,7.185665,0.475049
0.380035,7.080000,7.183686,-0.150000,0.114336,7.143072,-0.512060
0.400037,7.280000,7.183700,0.160000,-0.124485,7.193335,0.576399
0.420035,7.280000,7.177971,0.070000,-0.036169,7.226148,0.870900
0.440033,7.280000,7.179018,0.000000,-0.216401,7.248043,0.854861
0.460036,7.080000,7.182065,-0.070000,0.030001,7.185122,-0.620544
0.480042,7.080000,7.183699,-0.030000,-0.148260,7.144362,-1.035651
0.500043,7.270000,7.184662,0.170000,0.073345,7.191209,0.252538
0.520045,7.070000,7.185056,-0.110000,-0.124800,7.143643,-0.700214
0.540047,7.270000,7.185475,0.120000,0.104038,7.190561,0.425527
0.560041,7.070000,7.184427,-0.110000,-0.124530,7.143225,-0.610218
0.580045,7.270000,7.184311,0.120000,0.105250,7.190367,0.467957
0.600047,7.080000,7.181875,-0.100000,-0.096130,7.147047,-0.518729
0.620048,7.280000,7.186331,0.110000,0.232066,7.196827,0.570626
0.640047,7.080000,7.181007,-0.100000,0.009106,7.151407,-0.492193
0.660051,7.280000,7.182579,0.100000,0.303489,7.199867,0.571272
0.700052,7.280000,7.197177,0.090000,0.190826,7.244821,0.915603
0.720051,7.080000,7.191270,-0.090000,-0.270811,7.175712,-0.596647
0.740056,7.270000,7.185503,0.090000,-0.277333,7.216560,0.368717
0.760058,7.070000,7.167302,-0.090000,-0.393807,7.158095,-0.759217
0.780057,7.270000,7.172380,0.080000,-0.467983,7.202876,0.346496
0.800059,7.070000,7.154416,-0.080000,-0.502065,7.150760,-0.689901
0.820061,7.280000,7.158872,0.080000,-0.497528,7.200720,0.484058
0.840061,7.080000,7.137198,-0.080000,-0.541844,7.153942,-0.541737
0.860065,7.280000,7.139975,0.080000,-0.471362,7.202233,0.531634
0.880065,6.980000,7.119765,-0.130000,-0.431288,7.116185,-1.211514
0.900063,7.280000,7.125913,0.100000,-0.274682,7.177383,0.391666
0.920068,6.980000,7.107996,-0.110000,-0.115956,7.099927,-1.114334
0.940053,7.180000,7.115445,0.630000,0.077213,7.127850,0.026649
0.960058,6.880000,7.111954,0.900000,0.146305,7.030368,-1.516279
0.980071,7.280000,7.133082,2.320000,0.438664,7.123791,1.027804
1.000072,7.080000,7.130959,2.310000,0.660236,7.108310,0.463701
1.020075,7.280000,7.161383,2.900000,1.024993,7.177795,1.673043
1.040075,7.080000,7.174470,2.370000,1.392859,7.146833,0.584681
1.060073,7.290000,7.215883,2.900000,1.764082,7.209869,1.602295
1.080078,7.100000,7.241629,2.050000,2.134162,7.177594,0.492931
1.100076,7.410000,7.301812,3.070000,2.549270,7.277655,2.187077
1.120079,7.210000,7.341668,2.190000,2.821891,7.265005,1.126567
1.140078,7.510000,7.408044,3.080000,2.992487,7.373562,2.665707
1.160082,7.320000,7.466071,2.210000,3.472936,7.369985,1.559051
1.180082,7.630000,7.552234,3.230000,3.674555,7.488105,3.084833
1.200086,7.530000,7.620975,2.780000,4.003987,7.525458,2.518498
1.220086,7.830000,7.709997,3.810000,4.186678,7.666064,4.033709
1.240086,7.640000,7.783553,2.900000,4.667314,7.683073,2.710432
1.260090,8.040000,7.885543,4.370000,4.781910,7.849021,4.656773
1.280090,7.850000,7.972373,3.570000,4.909265,7.882310,3.407193
1.300090,8.160000,8.076673,4.440000,4.863197,8.023847,4.635614
1.320094,8.070000,8.168396,3.870000,4.957259,8.079584,3.806925
1.340096,8.380000,8.273971,4.820000,4.877401,8.234911,5.123117
1.360094,8.200000,8.368447,3.860000,5.039033,8.264123,3.756968
1.380082,8.600000,8.490963,5.760000,5.110578,8.437626,5.715628
1.400095,8.600000,8.577900,6.940000,5.003941,8.550292,5.719227
1.420101,8.680000,8.689350,7.050000,4.850394,8.654513,5.530469
