cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
2.7719021472708967,1.1166603619037454,80.00400000000063,1.3005193867632614,0.1,0.35,15.0,600.0,12.5,1,0.55,150.0
2.772568871286913,1.1173938929682332,80.00400000000063,1.3003285094819148,0.1,0.35,40.0,600.0,12.5,1,0.55,150.0
2.7738176634555627,1.1185159677667738,80.00400000000063,1.3006905591107991,0.1,0.35,80.0,600.0,12.5,1,0.55,150.0
2.7741946420766666,1.118809976988523,80.00400000000063,1.300927614537527,0.1,0.35,40.0,600.0,25.0,1,0.55,150.0
2.7745469696643585,1.1191633300280583,80.00400000000063,1.3009246846751157,0.1,0.35,80.0,600.0,25.0,1,0.55,150.0
2.774721979706,1.119144133335645,80.00400000000063,1.3014795610581298,0.1,0.35,15.0,600.0,25.0,1,0.55,150.0
2.775369391565832,1.1198800137248426,80.00400000000063,1.301226793831371,0.1,0.35,80.0,600.0,50.0,1,0.55,150.0
2.77547326483631,1.1199305466097045,80.00400000000063,1.301379194933132,0.1,0.35,40.0,600.0,50.0,1,0.55,150.0
2.776219055731974,1.1204972825340611,80.00400000000063,1.3018907805654378,0.1,0.35,15.0,600.0,50.0,1,0.55,150.0
2.780588730459645,1.123254194197912,80.00400000000063,1.306498675033496,0.1,0.22,15.0,600.0,12.5,1,0.55,150.0
2.7812217312322365,1.1239574888832333,80.00400000000063,1.3062978352828394,0.1,0.22,40.0,600.0,12.5,1,0.55,150.0
2.782468630377876,1.125076045678134,80.00400000000063,1.306664527713521,0.1,0.22,80.0,600.0,12.5,1,0.55,150.0
2.7828794335107023,1.125396284019769,80.00400000000063,1.3069232842597827,0.1,0.22,40.0,600.0,25.0,1,0.55,150.0
2.783222287943733,1.1257408305383818,80.00400000000063,1.306918449729549,0.1,0.22,80.0,600.0,25.0,1,0.55,150.0
2.7834404096737546,1.1257573755440917,80.00400000000063,1.307494383227581,0.1,0.22,15.0,600.0,25.0,1,0.55,150.0
2.784060648190401,1.1264688245325454,80.00400000000063,1.3072337818795605,0.1,0.22,80.0,600.0,50.0,1,0.55,150.0
2.7841750051437297,1.1265279405121535,80.00400000000063,1.3073916132330472,0.1,0.22,40.0,600.0,50.0,1,0.55,150.0
2.7847706877500307,1.1149536208415063,80.00400000000063,1.342163048310043,0.2,0.35,15.0,600.0,12.5,1,0.55,150.0
2.7849443367179014,1.12711198213535,80.00400000000063,1.307921013092977,0.1,0.22,15.0,600.0,50.0,1,0.55,150.0
2.7859488071986935,1.1158943112523951,80.00400000000063,1.3428414169893967,0.2,0.35,40.0,600.0,12.5,1,0.55,150.0
2.7874117739484348,1.1170855002859565,80.00400000000063,1.3436179247499105,0.2,0.35,80.0,600.0,12.5,1,0.55,150.0
2.7876545308485676,1.1172992027006035,80.00400000000063,1.3437009375655844,0.2,0.35,40.0,600.0,25.0,1,0.55,150.0
2.787846778447595,1.1174871604529908,80.00400000000063,1.3437131942702694,0.2,0.35,15.0,600.0,25.0,1,0.55,150.0
2.7881751441249065,1.117718743749603,80.00400000000063,1.343989715357983,0.2,0.35,80.0,600.0,25.0,1,0.55,150.0
2.7890296434688615,1.118432008642405,80.00400000000063,1.3443932423612766,0.2,0.35,40.0,600.0,50.0,1,0.55,150.0
2.7890390785706125,1.1184303692026967,80.00400000000063,1.3444248839083035,0.2,0.35,80.0,600.0,50.0,1,0.55,150.0
2.7895887937048722,1.1189148839903513,80.00400000000063,1.3446111706128905,0.2,0.35,15.0,600.0,50.0,1,0.55,150.0
2.7949050746972666,1.1349602082483112,80.00400000000063,1.3139567612827014,0.1,0.12,15.0,600.0,12.5,1,0.55,150.0
2.795508922461628,1.1356324358404986,80.00400000000063,1.313761390346056,0.1,0.12,40.0,600.0,12.5,1,0.55,150.0
2.7967659171189876,1.1367546770947548,80.00400000000063,1.3141464000692098,0.1,0.12,80.0,600.0,12.5,1,0.55,150.0
2.7972270809370903,1.1371164851060893,80.00400000000063,1.314430273802833,0.1,0.12,40.0,600.0,25.0,1,0.55,150.0
2.797563038416615,1.1374527293882468,80.00400000000063,1.3144294543667387,0.1,0.12,80.0,600.0,25.0,1,0.55,150.0
2.7976775524871256,1.1249056133115143,80.00400000000063,1.3506055405017188,0.2,0.22,15.0,600.0,12.5,1,0.55,150.0
2.7978265678344996,1.1375101857712067,80.00400000000063,1.315018234466524,0.1,0.12,15.0,600.0,25.0,1,0.55,150.0
2.798431612010312,1.13820329650756,80.00400000000063,1.3147666157221227,0.1,0.12,80.0,600.0,50.0,1,0.55,150.0
2.798557709486107,1.138272676263306,80.00400000000063,1.3149286663508324,0.1,0.12,40.0,600.0,50.0,1,0.55,150.0
2.7988143931253027,1.1258046311883305,80.00400000000063,1.3512850341056082,0.2,0.22,40.0,600.0,12.5,1,0.55,150.0
2.799355151567907,1.1388779602426466,80.00400000000063,1.3154776895007174,0.1,0.12,15.0,600.0,50.0,1,0.55,150.0
2.800287959085697,1.126999607648288,80.00400000000063,1.3520810041068572,0.2,0.22,80.0,600.0,12.5,1,0.55,150.0
2.8005874270727005,1.1272577799582666,80.00400000000063,1.352198991755498,0.2,0.22,40.0,600.0,25.0,1,0.55,150.0
2.800834158457471,1.1274911424238578,80.00400000000063,1.3522371886674398,0.2,0.22,15.0,600.0,25.0,1,0.55,150.0
2.801098132073812,1.1276662708931608,80.00400000000063,1.3524910319446908,0.2,0.22,80.0,600.0,25.0,1,0.55,150.0
2.801995719831465,1.1284019724332712,80.00400000000063,1.3529535639948125,0.2,0.22,80.0,600.0,50.0,1,0.55,150.0
2.8020026735024466,1.1284176878031404,80.00400000000063,1.3529285305694192,0.2,0.22,40.0,600.0,50.0,1,0.55,150.0
2.8023722817860173,1.141391082283575,80.00400000000063,1.3169177128640932,0.1,0.08,15.0,600.0,12.5,1,0.55,150.0
2.802603739283017,1.1289321702307322,80.00400000000063,1.3531759115779294,0.2,0.22,15.0,600.0,50.0,1,0.55,150.0
2.802974688226585,1.142063691452339,80.00400000000063,1.3167171336406749,0.1,0.08,40.0,600.0,12.5,1,0.55,150.0
2.80424233975951,1.1431947093477288,80.00400000000063,1.3171075154622056,0.1,0.08,80.0,600.0,12.5,1,0.55,150.0
2.804726565471181,1.1435746715952846,80.00400000000063,1.3174054110739635,0.1,0.08,40.0,600.0,25.0,1,0.55,150.0
2.805063216712274,1.1439118997045339,80.00400000000063,1.3174037628792294,0.1,0.08,80.0,600.0,25.0,1,0.55,150.0
2.8053346704766984,1.1439729955989693,80.00400000000063,1.3180047853649133,0.1,0.08,15.0,600.0,25.0,1,0.55,150.0
2.8059486488718304,1.14467593003432,80.00400000000063,1.3177506252500024,0.1,0.08,80.0,600.0,50.0,1,0.55,150.0
2.8060773076921235,1.1447466816999292,80.00400000000063,1.3179160742633855,0.1,0.08,40.0,600.0,50.0,1,0.55,150.0
2.8068807643571034,1.145354734443328,80.00400000000063,1.3184743711821891,0.1,0.08,15.0,600.0,50.0,1,0.55,150.0
2.8172844376284796,1.1478778735655017,80.00400000000063,1.3409901830370514,0.2,0.35,15.0,600.0,12.5,1,0.35,150.0
2.8194780608876666,1.1498049772104952,80.00400000000063,1.3417516676490346,0.2,0.35,40.0,600.0,12.5,1,0.35,150.0
2.8218000086388164,1.1445115576023077,80.00400000000063,1.3635098601042825,0.2,0.12,15.0,600.0,12.5,1,0.55,150.0
2.822089773206448,1.1520072677198059,80.00400000000063,1.342921444247522,0.2,0.35,80.0,600.0,12.5,1,0.35,150.0
2.8229042758068723,1.1453645384687838,80.00400000000063,1.36422782096594,0.2,0.12,40.0,600.0,12.5,1,0.55,150.0
2.8232796965877798,1.152908354390028,80.00400000000063,1.3437466919935492,0.2,0.35,40.0,600.0,25.0,1,0.35,150.0
2.8235289557185084,1.1530524101714055,80.00400000000063,1.3440472729916955,0.2,0.35,15.0,600.0,25.0,1,0.35,150.0
2.8242371887455766,1.1537380052405082,80.00400000000063,1.3441119528715966,0.2,0.35,80.0,600.0,25.0,1,0.35,150.0
2.8244094274379847,1.1465739369001864,80.00400000000063,1.3650728301079684,0.2,0.12,80.0,600.0,12.5,1,0.55,150.0
2.824795310005029,1.146904360291849,80.00400000000063,1.3652312848947736,0.2,0.12,40.0,600.0,25.0,1,0.55,150.0
2.8251038941800823,1.147193747533381,80.00400000000063,1.3652861332762625,0.2,0.12,15.0,600.0,25.0,1,0.55,150.0
2.825300770642482,1.1473016131012608,80.00400000000063,1.3655404501177482,0.2,0.12,80.0,600.0,25.0,1,0.55,150.0
2.8261064520259325,1.1552421914163504,80.00400000000063,1.3451550303130635,0.2,0.35,40.0,600.0,50.0,1,0.35,150.0
2.8261573218171554,1.1553059276735913,80.00400000000063,1.345118268981584,0.2,0.35,80.0,600.0,50.0,1,0.35,150.0
2.8262573801370605,1.148080575615218,80.00400000000063,1.3660480129195227,0.2,0.12,80.0,600.0,50.0,1,0.55,150.0
2.8262826297761987,1.1481136502016982,80.00400000000063,1.366025655927117,0.2,0.12,40.0,600.0,50.0,1,0.55,150.0
2.826932230971358,1.148666156047059,80.00400000000063,1.3663030712122546,0.2,0.12,15.0,600.0,50.0,1,0.55,150.0
2.827072656806409,1.1560115170282035,80.00400000000063,1.3457175422234173,0.2,0.35,15.0,600.0,50.0,1,0.35,150.0
2.8328161637570264,1.1588381934131422,80.00400000000063,1.3540513438396424,0.2,0.22,15.0,600.0,12.5,1,0.35,150.0
2.834535434447721,1.1552291605280265,80.00400000000063,1.369275068341957,0.2,0.08,15.0,600.0,12.5,1,0.55,150.0
2.8349496517930843,1.160705896300945,80.00400000000063,1.3548107299775154,0.2,0.22,40.0,600.0,12.5,1,0.35,150.0
2.8356426045739207,1.1560846812348848,80.00400000000063,1.3699940666829322,0.2,0.08,40.0,600.0,12.5,1,0.55,150.0
2.8371702434713937,1.1573107951696815,80.00400000000063,1.370855566576294,0.2,0.08,80.0,600.0,12.5,1,0.55,150.0
2.83756636785862,1.1629057757280548,80.00400000000063,1.3560016918015882,0.2,0.22,80.0,600.0,12.5,1,0.35,150.0
2.837595798790182,1.1576721174018465,80.00400000000063,1.3710390896809315,0.2,0.08,40.0,600.0,25.0,1,0.55,150.0
2.8379169756338936,1.1579683344584892,80.00400000000063,1.371110403358271,0.2,0.08,15.0,600.0,25.0,1,0.55,150.0
2.8381043931974044,1.1580717467082657,80.00400000000063,1.37135041854037,0.2,0.08,80.0,600.0,25.0,1,0.55,150.0
2.838817744488606,1.1638547717371648,80.00400000000063,1.3568656364326628,0.2,0.22,40.0,600.0,25.0,1,0.35,150.0
2.839092088533671,1.1588745130219527,80.00400000000063,1.3718787871763103,0.2,0.08,80.0,600.0,50.0,1,0.55,150.0
2.8391209845724124,1.1589096129408243,80.00400000000063,1.371861061804511,0.2,0.08,40.0,600.0,50.0,1,0.55,150.0
2.8391365956364596,1.1640568124275035,80.00400000000063,1.3571993805969902,0.2,0.22,15.0,600.0,25.0,1,0.35,150.0
2.8397595152197876,1.164667774119348,80.00400000000063,1.35723354600123,0.2,0.22,80.0,600.0,25.0,1,0.35,150.0
2.8397795527791114,1.1594657210479793,80.00400000000063,1.3721538049460649,0.2,0.08,15.0,600.0,50.0,1,0.55,150.0
2.8416831659792,1.1662128121987623,80.00400000000063,1.3583152965155088,0.2,0.22,40.0,600.0,50.0,1,0.35,150.0
2.8417127982341146,1.1662583326196532,80.00400000000063,1.358269901755577,0.2,0.22,80.0,600.0,50.0,1,0.35,150.0
2.842701231375701,1.1670211073646384,80.00400000000063,1.3589146400315821,0.2,0.22,15.0,600.0,50.0,1,0.35,150.0
2.859980308580712,1.1611454622036785,80.00400000000063,1.42507098964864,0.35,0.35,15.0,600.0,12.5,1,0.55,150.0
2.8601895638931083,1.1919962130791357,80.00400000000063,1.3375238594684655,0.1,0.35,15.0,300.0,12.5,1,0.55,150.0
2.8602885616657954,1.1922601316549633,80.00400000000063,1.337052657173779,0.1,0.35,40.0,300.0,12.5,1,0.55,150.0
2.861940988969421,1.1937282775992728,80.00400000000063,1.3375791753432553,0.1,0.35,80.0,300.0,12.5,1,0.55,150.0
2.862249064066778,1.1627148967417493,80.00400000000063,1.4270690495000535,0.35,0.35,40.0,600.0,12.5,1,0.55,150.0
2.8637014958378995,1.164011171693171,80.00400000000063,1.4275152118420538,0.35,0.35,15.0,600.0,25.0,1,0.55,150.0
2.8641868630352,1.164162489434926,80.00400000000063,1.4284696388578988,0.35,0.35,80.0,600.0,12.5,1,0.55,150.0
2.8642458756566933,1.1642674900187742,80.00400000000063,1.4283382446797426,0.35,0.35,40.0,600.0,25.0,1,0.55,150.0
2.865125327567677,1.1648913128339933,80.00400000000063,1.4290686135247834,0.35,0.35,80.0,600.0,25.0,1,0.55,150.0
2.8658824651764006,1.1655332292756144,80.00400000000063,1.4293978168593626,0.35,0.35,40.0,600.0,50.0,1,0.55,150.0
