detection_radius_cm,target_model,strategy,mean_cm,median_cm,p90_cm,worst_cm,miss_rate,path_length_cm
100.0,uniform_inside_triangle,spiral,191.86837269575497,155.3197617660474,408.7509889907313,1196.2953782144002,0.0,1959.1065572023113
100.0,uniform_inside_triangle,continue_then_spiral,208.4924091310696,155.3197617660474,688.7110904132647,1546.295378214402,0.0,2309.106557202314
100.0,uniform_inside_triangle,center_spokes,253.2179285320643,155.3197617660474,1039.197339460475,1126.3659095145933,0.0,1427.493696974275
100.0,uniform_inside_triangle,triangle_perimeter,294.6536147316975,155.3197617660474,942.1307258924365,1168.835271346983,0.0,1467.1307258924392
100.0,uniform_inside_triangle,center_out_raster,205.0272150658287,155.3197617660474,624.3227467324064,853.4203092187436,0.00455,853.4203092187436
100.0,uniform_inside_triangle,continue_then_raster,183.5900094491939,155.3197617660474,501.45343824396207,684.6042924117505,0.0,1101.251926890084
100.0,remaining_triangle_vertices,spiral,897.5769550305432,602.5197179803647,1192.6341920807217,1192.6341920807217,0.0,1959.1065572023113
100.0,remaining_triangle_vertices,continue_then_spiral,944.4711618783947,346.30813167606595,1542.6341920807236,1542.6341920807236,0.0,2309.106557202314
100.0,remaining_triangle_vertices,center_spokes,722.2207210818548,318.0755326491162,1126.3659095145933,1126.3659095145933,0.0,1427.493696974275
100.0,remaining_triangle_vertices,triangle_perimeter,842.6989077106178,667.6989077106169,1017.6989077106188,1017.6989077106188,0.0,1467.1307258924392
100.0,remaining_triangle_vertices,center_out_raster,536.9317412185538,321.72618381496716,752.1372986221405,752.1372986221405,0.0,853.4203092187436
100.0,remaining_triangle_vertices,continue_then_raster,459.68641921398086,346.30813167606595,573.0647067518958,573.0647067518958,0.0,1101.251926890084
120.0,uniform_inside_triangle,spiral,148.76346473453737,131.42441380204016,350.2102757647235,579.0249146225684,0.0,1959.1065572023113
120.0,uniform_inside_triangle,continue_then_spiral,161.09752728674772,131.42441380204016,258.80813167606556,770.8084196194326,0.0,2309.106557202314
120.0,uniform_inside_triangle,center_spokes,189.11189127285851,131.42441380204016,254.68020897339284,1106.55487086593,0.0,1427.493696974275
120.0,uniform_inside_triangle,triangle_perimeter,208.51932174925892,131.42441380204016,619.971634983344,997.812544074255,0.0,1467.1307258924392
120.0,uniform_inside_triangle,center_out_raster,157.6431547121839,131.42441380204016,254.5648176534366,728.1617673712843,0.0,853.4203092187436
120.0,uniform_inside_triangle,continue_then_raster,146.43376748314023,131.42441380204016,258.80813167606556,561.1294953339068,0.0,1101.251926890084
120.0,remaining_triangle_vertices,spiral,874.9191737696137,579.0249146225684,1170.8134329166592,1170.8134329166592,0.0,1959.1065572023113
120.0,remaining_triangle_vertices,continue_then_spiral,917.6516913872724,314.48994985788397,1520.813432916661,1520.813432916661,0.0,2309.106557202314
120.0,remaining_triangle_vertices,center_spokes,702.4096824331914,298.26449400045266,1106.55487086593,1106.55487086593,0.0,1427.493696974275
120.0,remaining_triangle_vertices,triangle_perimeter,822.8125440742541,647.8125440742532,997.812544074255,997.812544074255,0.0,1467.1307258924392
120.0,remaining_triangle_vertices,center_out_raster,515.0899307374858,298.0221722285446,732.157689246427,732.157689246427,0.0,853.4203092187436
120.0,remaining_triangle_vertices,continue_then_raster,433.83131878989906,314.48994985788397,553.1726877219141,553.1726877219141,0.0,1101.251926890084
140.0,uniform_inside_triangle,spiral,115.86906118449748,107.52906583803284,207.09301568806316,556.2766849331329,0.0,1959.1065572023113
140.0,uniform_inside_triangle,continue_then_spiral,124.5310276566315,107.52906583803284,207.09301568806316,737.9935847750163,0.0,2309.106557202314
140.0,uniform_inside_triangle,center_spokes,139.6182156431627,107.52906583803284,207.09301568806316,1086.7438322172668,0.0,1427.493696974275
140.0,uniform_inside_triangle,triangle_perimeter,150.0971302169831,107.52906583803284,207.09301568806316,977.9261804378913,0.0,1467.1307258924392
140.0,uniform_inside_triangle,center_out_raster,122.00834293891145,107.52906583803284,207.09301568806316,708.1821579955708,0.0,853.4203092187436
140.0,uniform_inside_triangle,continue_then_raster,116.1226263099521,107.52906583803284,207.09301568806316,529.3022648859362,0.0,1101.251926890084
140.0,remaining_triangle_vertices,spiral,474.8659462242694,390.2454361144868,559.486456334052,559.486456334052,0.0,1959.1065572023113
140.0,remaining_triangle_vertices,continue_then_spiral,515.435874804368,290.6263134942475,740.2454361144887,740.2454361144887,0.0,2309.106557202314
140.0,remaining_triangle_vertices,center_spokes,682.5986437845279,278.4534553517891,1086.7438322172668,1086.7438322172668,0.0,1427.493696974275
140.0,remaining_triangle_vertices,triangle_perimeter,802.9261804378904,627.9261804378895,977.9261804378913,977.9261804378913,0.0,1467.1307258924392
140.0,remaining_triangle_vertices,center_out_raster,495.22345455528637,278.26882923985914,712.1780798707135,712.1780798707135,0.0,853.4203092187436
140.0,remaining_triangle_vertices,continue_then_raster,411.95349109309,290.6263134942475,533.2806686919325,533.2806686919325,0.0,1101.251926890084
